Frau Präsidentin! Herr Cunha hat einen guten Bericht vorgelegt.	Madam President, Mr Cunha has presented a very good report.
Meine Fraktion wird ihn unterstützen.	My group will support him.
Er hat deutlich gemacht, daß dieses Interventionssystem in der Vergangenheit zu großen Unterschieden und Ungerechtigkeiten geführt hat zwischen den Produzenten, den Ländern und den Regionen und daß es sich zerstörerisch auch auf die Arbeitsplätze und die Qualität der Nahrungsmittel ausgewirkt hat.	He has made it clear that in the past this intervention system led to great disparities and injustices among producers, countries and regions, and that it had a destructive effect on jobs and the quality of food.
Eine Preissenkungspolitik, Herr Fischler - das habe ich vorhin schon gesagt -, innerhalb des Interventionssystems führt zum Ausscheiden von Betrieben, ist für Betriebe und Regionen, die in ihrer Produktion sensibel sind und nicht zu den Gunstlagen gehören, tödlich.	As I said before, Mr Fischler, a policy of price reduction within the intervention system leads to farms being excluded, and is fatal for farms and regions which are sensitive in their production and do not belong to the favoured sectors.
Hier muß ein radikaler Schnitt gemacht werden.	Here we must make a radical change.
Wir müssen raus aus dem Interventionssystem und stattdessen eine integrierte Entwicklung des ländlichen Raums betreiben, so wie sie in der Agenda 2000 in der zweiten Säule angedacht ist.	We must move away from the intervention system and instead move towards an integrated development of rural areas, as is intended in the second pillar of Agenda 2000.
Hier eine Strukturpolitik horizontal anzubieten, ist dringend erforderlich, weil wir eine Preissenkungspolitik oder einen Ausstieg aus dem Interventionssystem ohne Stärkung regionaler Märkte in vielen Gebieten nicht verkraften.	It is essential here that we offer a structural policy on a horizontal basis as in many areas we cannot sustain a policy of price reduction or a departure from the intervention system without regional markets being strengthened.
Das würde zu weiteren Zerstörungen von Arbeitsplätzen führen.	This would lead to the destruction of further jobs.
Von daher ist es dringend geboten, daß wir zu einem Wettbewerb um Qualität kommen, Herr Fischler, auch für die Produktion auf dem Weltmarkt.	For this reason, we must be able to compete in terms of quality as a matter of urgency, Mr Fischler, and this should also apply to production in the world market.
Wer für den Weltmarkt produzieren will, möge dies tun, aber bitte schön ohne staatliche Hilfe!	Those who wish to produce for the world market may do so, but they should do so without state aid!
Das würde dazu führen, daß sich die Preise auf dem Weltmarkt erholen und daß vielen Bäuerinnen und Bauern in Ländern der Dritten Welt auch wieder eine Chance gegeben wird, in der Nahrungsmittelproduktion für ihre Länder und ihre Regionen ihre Existenz zu sichern.	This would lead to an increase in prices on the world market, giving many farmers in Third World countries a chance once again to secure their livelihood by producing food for their countries and regions.
Wenn wir weiterhin mit Milliardenbeträgen dumpen, wird diese Entwicklung nachhaltig zerstört, und es kommt zu vielen sozialen und ökologischen Verwerfungen.	If we continue to dump to the tune of millions, this development will constantly be destroyed and it will result in social and ecological dumping.
Ein Wort noch zum Außenschutz.	I would like to mention external protection briefly.
Auch dieses ist von den Fraktionen insgesamt bestätigt, und ich hoffe, daß die Kommission bei ihrer Linie bleibt, auch die regionale Entwicklung innerhalb der EU durch einen Schutz gegen soziales und ökologisches Dumping von außen zu schützen.	This is, on the whole, confirmed by the parliamentary groups and I hope that the Commission will keep to its plan of also protecting regional development within the EU by protecting against external social and ecological dumping.
Das wäre auch ein Beitrag zur Stabilisierung der Situation auf dem Weltmarkt, was wiederum den schwächsten Ländern in der Landwirtschaftsproduktion zugute kommt.	This would also help to stabilize the situation in the world market, which in turn would benefit those countries that are weakest in terms of agricultural production.
