Herr Präsident! Die Situation im Kosovo stellt für Europa ein Sicherheitsproblem ersten Ranges dar.	Mr President, the situation in Kosovo represents a security problem of the first order for Europe.
Die Tragödie hat bereits ihren Lauf genommen nach dem uns allen wohlvertrauten Muster der serbischen Politik, wie sie bereits in Kroatien und Bosnien-Herzegowina stattgefunden hat: gezielte Vertreibung der Bevölkerung, massive Flüchtlingsströme, die die Krise in benachbarte Länder der Region verlagert.	The tragedy has proceeded according to the familiar pattern of Serbian politics we have already seen played out in Croatia and Bosnia-Herzegovina: targeted displacement of the population and massive streams of refugees shifting the crisis to neighbouring countries in the region.
Die NATO-Luftmanöver haben bisher nur symbolischen Wert.	So far the NATO manoeuvres have been purely symbolic in nature.
Das Flugverbot für die jugoslawische Fluglinie JAT, vom Europäischen Rat bestätigt, ist eine schwache Geste.	The flying ban imposed on the Yugoslavian Airline JAT, and confirmed by the Council of Europe, is a feeble gesture.
Daß sich der Europäische Rat in Cardiff eine militärische Option - vorsichtig umschrieben - offengelassen hat, zeigt in Wirklichkeit, wie gelähmt die internationale Gemeinschaft angesichts der Krise im Kosovo ist.	The fact that in Cardiff the European Council left open the carefully circumscribed possibility of a military option demonstrates the extent of the international community's paralysis is in relation to the crisis in Kosovo.
Das Krisenmanagement erinnert fatal an die Reaktion gegenüber dem Irak und Saddam Hussein.	This crisis management is an embarrassing reminder of our reactions to Iraq and Saddam Hussein.
Durch das Warten auf grünes Licht für den Militäreinsatz durch den UNO-Sicherheitsrat hat man Rußland de facto ein Instrument in die Hand gegeben, ein NATO-Engagement zu verhindern, und gleichzeitig durch die Verhandlungen zwischen Jelzin und Milosevic der serbischen Führung abermals einen Zeitgewinn verschafft.	By waiting for the Security Council's green light on military intervention we have effectively provided Russia with a means of preventing NATO's involvement and, at the same time, we have given the Serbian leadership additional time by allowing the meetings between Yeltsin and Milosevic.
Der Rückzug der serbischen Sonderpolizei aus dem Kosovo wurde vom Verhalten der albanischen Untergrundorganisation UCK abhängig gemacht.	The withdrawal of the Serbian Special Police from Kosovo was made conditional upon the actions of the Albanian underground organization, the UCK.
Der EU-interne Konflikt über ein militärisches Eingreifen der NATO mit oder ohne Mandat des UNO-Sicherheitsrates verschafft Milosevic großen Spielraum, seine Politik der Vertreibung ungehindert fortzusetzen.	The conflict within the EU on whether military intervention by NATO should take place with or without a mandate from the Security Council has given Milosevic more time in which to continue his policy of expulsions unhindered.
Der Appell an die internationale Gemeinschaft, den Angriffen auf die Zivilbevölkerung mit allen Mitteln Einhalt zu gebieten, droht unter diesen Umständen wirkungslos zu bleiben.	In these circumstances, the call to the international community to use every means at its disposal to put an end to the attacks against the civilian population is in danger of remaining completely unheeded.
Ein Moratorium der Kampfhandlungen wäre eine Voraussetzung für eine Aufnahme von Verhandlungen zwischen Belgrad und Repräsentanten der Kosovo-Albaner.	The start of negotiations between Belgrade and representatives of the Kosovo Albanians should be made conditional upon a moratorium on the fighting.
Die Willensäußerungen des Europäischen Parlaments sind ein schwacher Ersatz für den mangelnden politischen Willen der EU-Mitgliedstaaten, eine weitere Tragödie auf dem Balkan zu verhindern.	The statements made by the European Parliament are a feeble substitute for the lack of political will being shown by the EU Member States to avoid another tragedy in the Balkans.
