Herr Präsident! Auch ich plädiere nicht für Grenzänderungen.	Mr President, I am not pleading for border changes either.
Aber ich muß doch klar sagen, daß vieles, was hier gesagt wurde, historisch und rechtlich falsch ist.	I would like to make it quite clear that much of what has been said here is historically and legally incorrect.
Denn wenn das stimmen würde, was Herr Ephremidis gesagt hat, dann müßte heute noch über der Akropolis der osmanische Halbmond wehen.	If what Mr Ephremedis has said were true, then today the Ottoman Crescent would still be fluttering over the Acropolis.
Wir müssen ganz klar sehen, daß es in der Geschichte immer wieder Veränderungen gegeben hat, und auch nach unserem heutigen Völkerrecht sind peaceful changes durchaus möglich.	We must be quite clear that there have always been changes, throughout history, and that under current international law peaceful changes are quite permissible.
1878, vor genau 120 Jahren, haben sich die Albaner in Prizrem im heutigen Kosovo zur Liga von Prizrem zusammengefunden, um sich angesichts des Zerbrechens des Osmanischen Reiches als altes europäisches Kulturvolk in der Gemeinschaft der Europäer zurückzumelden.	In 1878, exactly 120 years ago, in Prizrem in present day Kosovo the Albanians founded the Prizrem League in a bid to reassert themselves as the oldest civilized nation in Europe in the face of the crimes of the Ottoman Empire.
Man hat sie im Berliner Kongreß, der ein Versagen des damaligen Europa dokumentiert, einfach unter den Tisch gekehrt.	At the Berlin Congress, which documented the failure of the Europe of the day, they were simply swept under the carpet.
Man hat ihr Selbstbestimmungsrecht und ihre Existenz ignoriert.	Their right of self determination and their very existence were ignored.
Man hat sie erst in den Balkankriegen wiederentdeckt, als man sie als Schachfiguren gebrauchen konnte.	They were not discovered again until the Balkan wars, when they became useful as pawns in a game of chess.
So sind diese Grenzen entstanden, über die wir heute diskutieren, und deshalb hat Herr Cohn-Bendit recht.	That is how the borders we are discussing today were fixed, and so Mr Cohn-Bendit is right.
Wir müssen dafür sorgen, daß sich in Serbien das Regime ändert und daß Herr Milosevic verschwindet, denn man wird niemals erreichen können, daß eine Familie, in der etliche Familienmitglieder bereits ermordet wurden, mit dem Mörder weiterhin in einer gemeinsamen Wohnung zusammenlebt.	We must make sure that the regime in Serbia changes and that Mr Milosevic disappears, because it is impossible to persuade a family in which several members have been murdered to carry on living under the same roof as the murderer.
Das ist ein völlig absurder Gedanke, wie er überhaupt nur in Politiker- und Bürokratenköpfen entstehen kann.	It is a quite absurd idea and one which could only have taken shape in the mind of a politician or a bureaucrat.
Ich muß dies einmal ganz klar sagen.	I must say this quite unequivocally.
Wir müssen die Realität sehen, wie sie ist.	We must see things as they really are.
Es wird dort systematisch gemordet und vertrieben, und zwar schon seit acht Jahren.	People are being systematically murdered and expelled and it has been happening for eight years.
Dies hat sich jetzt verschärft, aber seit acht Jahren findet dieser Feldzug gegen die Mehrheitsbevölkerung im Kosovo statt.	The situation has indeed deteriorated now, but this campaign against the majority population in Kosovo has been going on for eight years.
Wenn Frau van Bladel dauernd davon spricht, daß die Widerstandsbewegung des Kosovo - ich bin auch nicht für Gewalt - in erster Linie zu bekämpfen sei, möchte ich Sie daran erinnern, daß wir Herrn Rugova auf seinem friedlichen Weg jahrelang alleingelassen haben und heute in heuchlerischer Weise diejenigen anklagen, die versuchen, das nackte Leben zu retten.	If Mrs van Bladel keeps saying that our first priority must be to counter the resistance movement in Kosovo - and I myself am no supporter of violence either - I must remind her that having turned our backs on Mr Rugova and his peaceful resistance for many years it is now somewhat hypocritical of us to attack people who are simply trying to save their own lives.
