Herr Präsident! Dieser Konflikt zwischen Äthiopien und Eritrea hat uns alle überrascht und bestürzt.	Mr President, this conflict between Ethiopia and Eritrea has surprised and disturbed us all.
Wir sind besorgt, daß die Region weiter destabilisiert wird.	We are worried that the region will be further destabilized.
Wir sind besorgt, daß es zu einer Tragödie kommt.	We are worried that a tragedy is waiting to happen.
Die Betroffenen sind in erster Linie die Menschen in dieser Region.	Those affected are first and foremost the people in this region.
Sie sind schon geschlagen dadurch, daß es eine der ärmsten Regionen der Welt ist, und jetzt kommt noch der Krieg hinzu.	They are already badly affected by belonging to one of the poorest regions in the world, and now war is to be added to their lot.
Grenzkonflikte dieser Art sind oft Ausdruck innenpolitischer Konflikte und Differenzen, sowohl in Äthiopien als auch in Eritrea.	Border conflicts of this kind are often the expression of internal political conflicts and differences, in both Ethiopia and Eritrea.
Wir sind der Meinung, daß dieser Konflikt nicht weiter eskalieren darf.	We are of the opinion that this conflict should not be allowed to escalate.
Die Europäische Union ist gefordert, die diplomatischen Bemühungen zu unterstützen.	The European Union is called upon to support the diplomatic efforts.
Wir begrüßen die Bemühungen der OAU, der USA und Ruandas.	We welcome the efforts of the OAU, the USA and Rwanda.
Der Rat hat in seiner letzten Erklärung zum Gipfel in Cardiff gesagt, daß er den Konflikt verurteilt, daß er die diplomatischen Lösungen unterstützen will und daß er auch bereit ist, falls es zu Verhandlungen kommt, mit materieller Hilfe weiterzuhelfen.	The Council said in its last statement on the Cardiff Summit that it condemns the conflict, that it wishes to support the diplomatic solutions and that it is also prepared, should negotiations come about, to lend material assistance.
Wir sollten dies als Parlament, und auch Sie, Frau Kommissarin, sollten dies im Namen der Kommission unterstützen.	We should support this as a Parliament and you too, Madam Commissioner, should support it on behalf of the Commission.
Wir müssen versuchen, eine diplomatische Lösung zu finden und den Menschen in der Region durch materielle Hilfe direkt zu helfen.	We must try to find a diplomatic solution and assist the people in the region directly through material aid.
