Herr Präsident, der Schutz von Tieren ist mir ein wichtiges Anliegen.	Mr President, animal welfare is a matter of great importance to me.
Das Bewußtsein um die Bedeutung der Behandlung von Tieren, seien es nun Nutz-, Zucht- oder Schlachttiere, ist gerade in Österreich sehr groß.	In Austria, there is a high level of awareness of the importance of how animals are treated, whether we are talking about utility animals, breeding stock or animals for slaughter.
Die österreichische Präsidentschaft wird sich dieses Themas verstärkt annehmen, damit es auch europaweit zu einer Verbesserung der Transportbedingungen von Tieren kommt.	The Austrian presidency will be taking a greater interest in this topic with a view to improving conditions of transportation of animals throughout Europe.
Was den Tiertransport betrifft, möchte ich unterstreichen, daß Regelungen europaweit notwendig sind.	On the subject of animal transportation, I would like to emphasize the necessity of pan-European regulation.
Das Europäische Parlament sollte dazu den politischen Weg vorzeigen und Rahmenbedingungen schaffen.	The European Parliament should stake out the political way ahead and set basic conditions.
Das Europäische Parlament sollte jedoch keine zu detaillierten technischen Vorschriften verabschieden.	However, the European Parliament should not approve any regulations that go into too much technical detail.
Wir sind als Politiker gewählt, um Politik zu machen, und nicht, um Experten anderer Fachgebiete, wie zum Beispiel Tierärzte, Techniker usw., zu ersetzen.	As politicians, we are elected to set policy and not to displace experts in other professional fields, for example, veterinarians, technicians, etcetera.
Der tiergerechte Transport von Zucht- und Nutztieren ist für das Wohlbefinden der Tiere sehr wichtig.	Proper transportation of breeding and utility animals is very important for the wellbeing of animals.
Aber auch der Transport von Lebendschlachtvieh muß unter guten Bedingungen durchgeführt werden, da die Qualität des Fleisches davon abhängt.	However, the transportation of live animals for slaughter must also be carried out under good conditions, because the quality of the meat depends on this.
Wir als Produzenten wollen eine gute Behandlung.	As producers, we desire good treatment.
Nur, nach dem Verkauf gehört das Tier nicht mehr dem Bauern, sondern der Käufer ist verantwortlich.	However, after the sale has been concluded, the animal no longer belongs to the farmer; the buyer becomes responsible.
Moderne Technologie nutzen, ist sicher gut und positiv, aber ich bitte auch zu berücksichtigen, daß die Nutztierarten verschiedene Verhaltensweisen haben.	It is all very well using modern technology, but please also consider that different types of utility animals have different patterns of behaviour.
Schweine zum Beispiel mit Hebebühnen zu verladen, ist meiner Meinung nach unmöglich, da sie nie ruhig bleiben.	In my opinion, it would be virtually impossible to load pigs with a hydraulic loading ramp because they never keep still.
Wenn immer von der Neigung der Laderampen gesprochen wird, so darf ich sagen, daß es bei uns in Österreich fixe Rampen gibt, die die entsprechende Ausrichtung haben.	As regards the angle of the ramp, I would like to say that in Austria, we have properly aligned fixed ramps.
Wesentlich ist für mich auch, daß die Fahrer und das Verladepersonal ruhig mit den Tieren umgehen.	To me, it is also crucial for the driver and loading personnel to handle the animal calmly.
