Herr Präsident, Frau Abgeordnete! Gerade in dieser Frage habe ich durchaus noch einiges anzumerken.	Mr President, Mrs Lööw, I certainly have a few more comments to make on this particular question.
Der Bundesminister hat im Herbst letzten Jahres in der UN-Generalversammlung einen Entwurf einer Schlepperkonvention präsentiert.	In autumn last year, the federal minister presented a draft convention on trafficking to the UN General Assembly.
In seiner Rede vor der 52. Generalversammlung hat der Bundesminister in Aussicht gestellt, diesen Entwurf bei der nächsten Tagung der UN-Verbrechensverhütungskommission einzubringen.	In his statement to the 52nd General Assembly, he said that this draft would probably be submitted to the next meeting of the UN Commission on crime prevention.
Das ist inzwischen geschehen.	That has now been done.
Nach den überaus positiven Rückmeldungen auf die Schlepperinitiative wurde mit Italien vereinbart, gemeinsam diese Initiative vorzuführen, wobei sich die italienischen Bemühungen eher auf die Frage der Schlepperei über die hohe See konzentrieren.	After the very positive feedback from this initiative, it was agreed with Italy to pursue this initiative jointly, with the Italians concentrating mainly on the question of trafficking on the high seas.
Die UN-Verbrechensverhütungskommission hat dann auf ihrer Tagung im April des Jahres beschlossen, das Projekt einer internationalen Rahmenkonvention gegen das organisierte Verbrechen weiter zu verfolgen, deren Regelungsbereich jedoch auch auf allgemeine Rechtshilfe und Auslieferungsbestimmungen beschränkt würden.	At its meeting in April, the UN Commission on crime prevention decided to further pursue the project of an international framework convention against organised crime, although restricting its scope to general legal assistance and extradition provisions.
Spezifische Verbrechen sollten in Protokollen zur Rahmenkonvention geregelt werden.	Specific crimes were to be dealt with in protocols to the framework convention.
Es wurde vereinbart, auch ein Protokoll eben gegen das Schlepperwesen zu formulieren.	It was agreed to draw up a protocol against trafficking as such.
Daneben ist vereinbart, auch Protokolle in den Bereichen Frauenund Kinderhandel und Handfeuerwaffen zu erarbeiten.	It was also agreed to draw up protocols on traffic in women and children and on handguns.
Um die Verhandlungen über diese Rahmenkonvention und die Protokolle zu formalisieren, hat die Verbrechensverhütungskommission der UN-Generalversammlung die Verabschiedung einer Resolution empfohlen, die die Einrichtung eines Ad-hoc-Komitees zur Ausarbeitung einer Rahmenkonvention vorsieht.	With a view to formalising the negotiations on this framework convention and the protocols, the UN General Assembly's Commission on crime prevention recommended the adoption of a resolution providing for the creation of an ad hoc committee to draft a framework convention.
Dieses Komitee hat das Mandat erhalten, sofort auf der Basis dieses österreichisch-italienischen Entwurfs Verhandlungen über ein Schlepperprotokoll aufzunehmen.	This committee was tasked immediately to start negotiations on a trafficking protocol on the basis of this Austro-Italian initiative.
Auf einer ersten informellen Tagung dieses Ad-hoc-Komitees in Buenos Aires vom 31. August bis zum 4. September d.J. haben dann Österreich und Italien schon einen von der EU unterstützten Entwurf für ein Schlepperprotokoll vorgelegt, der von den anwesenden ca. 60 Delegationen auch begrüßt wurde.	At the first informal meeting of the ad hoc committee in Buenos Aires from 31 August to 4 September this year, Austria and Italy submitted a draft protocol on trafficking supported by the EU, which was endorsed by the 60 or so delegations who attended it.
Im Januar werden in Wien formelle Verhandlungen in bezug auf das Protokoll aufgenommen, wobei zu erwarten ist, daß wir bis März abgeschlossen haben werden.	Formal negotiations on the protocol will begin in Vienna in January and it is expected that we shall conclude them by March.
Die Konvention soll im Jahr 2000 fertiggestellt sein.	The convention is scheduled for completion in the year 2000.
Für den Bereich Frauen- und Kinderhandel wurde dabei betont, daß es besonders wichtig sei, den Prozeß im Rahmen der Menschenrechtskonvention zur Ausarbeitung eines Zusatzprotokolls zur Kinderrechtskonvention sorgfältig zu beachten.	On the question of traffic in women and children, it was emphasised that it is particularly important carefully to observe the procedure under the human rights convention for drafting an additional protocol to the convention on children's rights.
Da es aber noch keinen Textentwurf für das gegenständliche Protokoll zu Frauen- und Kinderhandel gibt, sagten die USA zu, spätestens bis März eine solche vorzulegen, also auch das ist im Werden.	But since we do not yet have a draft text for that protocol on traffic in women and children, the USA agreed to submit one no later than March; so this too is an ongoing process.
Das Protokoll sieht neben speziellen Bestimmungen betreffend die polizeiliche Zusammenarbeit und die Bekämpfung der Schlepperei zur See vor allem vor, daß die Schlepper entweder zu bestrafen oder an andere Vertragsparteien auszuliefern sind, aut dedere aut iudicare .	In addition to specific provisions on police cooperation and combating trafficking on the high seas, the protocol provides in particular that the traffickers must either be punished or extradited to other treaty partners, aut dedere aut iudicare .
Dabei sind jedoch die geschleppten Personen nicht als Mittäter zu bestrafen.	However, the illegal immigrants must not be punished as accessories.
Diese können nur wegen Verletzung der Einreisebestimmungen belangt werden, aber nicht strafrechtlich.	They can only be accused of infringing immigration provisions but not of having committed a crime.
Das wollte ich hinzufügen.	That is what I wished to add.
