Herr Präsident, Herr Abgeordneter! Vielen Dank für Ihre ermunternden Worte.	Mr President, Mr Apolinário, thank you for your words of encouragement.
Ich möchte noch einiges anfügen.	Let me add a few comments.
Zum einen habe ich selbst am 22. Juli - also knapp vor der Sommerpause - in Lissabon ein Gespräch mit Ramos Horta geführt, wobei er seine Bereitschaft zur Unterstützung des Autonomievorschlags zum Ausdruck brachte, unter der Voraussetzung, daß es sich dabei nur um eine Übergangslösung handle, und daß nach einigen Jahren ein Referendum über den endgültigen Status abgehalten würde.	On 22 July, shortly before the summer recess, I myself spoke with Ramos Horta in Lisbon; he told me he was prepared to support the proposed autonomy provided this was only an interim solution, and that a referendum would be held on East Timor's final status in a few years' time.
Ich möchte auch noch ein Wort zu den Gefangenen sagen, die hier angesprochen wurden.	Let me also say a few words about the matter of the prisoners that has been raised.
Die gesundheitliche Situation der Häftlinge im Gefängnis von Dili wird von uns auch mit großer Besorgnis verfolgt.	We too are monitoring the health of the prisoners being held in Dili jail with great concern.
Letzte Woche war dies auch Gegenstand der Diskussionen in der Arbeitsgruppe Asien/Ozeanien.	Last week this matter was discussed in the Asia-Oceania working party.
Der Vertreter der Präsidentschaft in Djakarta ist hier in ständigem Kontakt mit dem Roten Kreuz, um laufend über das Befinden vor allem der sich im Hungerstreik befindenden Gefangenen unterrichtet zu sein.	The presidency's representative in Djakarta is in constant contact with the Red Cross, which keeps him up to date on the health of all the prisoners on hunger strike.
Er hat auch bei den indonesischen Behörden darauf gedrängt, daß die entsprechende medizinische Versorgung und Betreuung gewährleistet wird.	He has also urged the Indonesian authorities to provide the necessary medicines and medical care.
Es gibt laut Bericht der österreichischen Botschaft in Djakarta, die als Präsidentschaft fungiert, auch einen Arzt, der regelmäßig die Hungerstreikenden besucht und bestätigte, daß die Gesundheitssituation unter Kontrolle ist.	According to the Austrian embassy in Djakarta, which represents the presidency, a doctor visits the hunger strikers regularly and has confirmed that the health situation is under control.
Was Xanana Guzmão anbetrifft, möchte ich erwähnen, daß selbstverständlich in dem Gespräch mit Ramos Horta auch die Frage der Gefangenen und die Freilassung von Xanana Guzmão angesprochen wurde, aber dazu sind eben offensichtlich noch weitere Gespräche in New York im Rahmen der Vereinten Nationen notwendig.	On Xanana Gusmão, let me point out that of course the question of the prisoners and the release of Xanana Gusmão was also raised during the talks with Ramos Horta, but clearly there will have to be further talks under the aegis of the United Nations in New York.
Wie Sie auch wissen, gibt es immer noch in der österreichischen Botschaft in Djakarta einige Osttimoresen, die dort Zuflucht gesucht hatten.	As you know, a few of the East Timorese who took refuge in the Austrian embassy in Djakarta are still there.
Auch hier bemühen wir uns um eine Lösung, die sowohl den Osttimoresen als auch den beiden Konfliktparteien entspricht.	Here too, we are seeking a solution acceptable both to the East Timorese and to the two conflicting parties.
