Vielen Dank, Herr Präsident!	Thank you, Mr President.
Herr Schwaiger, ich möchte Sie durchaus beglückwünschen. Die Soße und die Garnitur sind richtig prima, die Zubereitung ist sorgfältig.	Mr Schwaiger, I should like to congratulate you on the excellent sauce and accompaniments you have served up, and the care you have taken with your preparations.
Aber leider, um im Bild von heute morgen zu bleiben, ist der verarbeitete Fisch nicht mehr so frisch, so daß ein herber Nachgeschmack bleibt.	Unfortunately, carrying on this morning's theme, the fish itself is not very fresh and leaves a rather bitter taste in the mouth.
Das Interimsabkommen ist die Vorwegnahme des handelspolitischen Teils des Partnerschafts- und Kooperationsabkommens.	The interim agreement is designed to implement the trade elements of the partnership and cooperation agreement first.
Angesichts der historischen Wirklichkeit der letzten 500 Jahre ist es einfach heuchlerisch zu behaupten, daß der freie Handel schon irgendwie von selber Demokratie und Menschenrechte bringt. Oder es ist - das unterstelle ich nicht Ihnen, aber denjenigen, die das Abkommen so ausgehandelt haben und die auch die Safety -Klausel so einseitig praktizieren - eine zynische Mißachtung der Probleme der betroffenen Bevölkerung.	Given the history of the last 500 years it is simply hypocritical to claim that free trade somehow automatically generates democracy and human rights, or else it shows a cynical disregard for the problems of the people involved - not on your part, I hasten to add, but by those who have negotiated the agreement and who use the safety clause so one-sidedly.
Es gibt sicherlich auch hier Vorbehalte in den Mitgliedstaaten, die man durch dieses Interimsabkommen umgehen will.	There are sure to be misgivings about this in the Member States too, which this interim agreement is designed to circumvent.
Die Menschenrechtssituation ist katastrophal.	The human rights situation is disastrous.
Der Kriegszustand mit Armenien hält trotz aller Mahnungen der OECD zu einem Friedensvertrag weiter an.	Despite the OECD's insistence that a peace agreement had to be reached the war with Armenia is still continuing.
Ich möchte jetzt nicht in Details gehen und nenne nur einige Schlaglichter: Am 12. September mißhandelte die Polizei am Rande einer von der Opposition organisierten Demonstration 34 Journalisten und beschlagnahmte ihre Ausrüstung.	I do not wish to go into detail here and would simply mention a few salient facts. On 12 September the police assaulted 34 journalists on the fringes of a demonstration organised by the opposition and confiscated their equipment.
Am 1. September wurde der Journalist Tai Hamid aus seinem Auto gezerrt und mißhandelt.	On 1 September the journalist Tai Hamid was dragged from his car and assaulted.
In dieser Situation sollten wir die bestehenden GUS-Vereinbarungen nutzen, um Hilfe zu leisten, um die Beziehungen weiterzuentwickeln, und nicht diesen handelspolitischen Umweg gehen.	In such a situation we should use the existing CIS agreements to provide aid and to develop relations, instead of allowing trade to monopolise our attention.
Wir werden uns deshalb bei Ihrem Bericht enthalten.	We therefore intend to abstain in the vote on your report.
