Herr Präsident! Ein Blick auf die Karte sollte uns zeigen, wie bedeutend Aserbaidschan für uns ist.	Mr President, if we look at the map we can see just how important Azerbaijan is to us.
Manchmal hat man ja den Eindruck, daß unsere führenden Politiker in ihren Ämtern wohl Bilder hängen haben, aber keine Karten, während man sich doch immer wieder die geographischen Gegebenheiten vor Augen führen sollte.	You would sometimes think that our political leaders had no maps in their offices, only paintings, yet they should really be looking at the geographical details over and over again.
Ein Blick auf die Karte gibt Anlaß zu ernsthaften Sorgen. Die Kriegsgefahr steigt weltweit.	A glance at the map should give us serious cause for concern: the risk of war is mounting around the world.
Man braucht sich nur anzusehen, was sich ununterbrochen in Afrika abspielt, dann die Spannungen zwischen Iran und Afghanistan, die ohne weiteres über die Grenzen von diesen beiden Ländern hinausgehen könnten.	Think of what is still going on in Africa, and the tension between Iran and Afghanistan that could so easily spill over the borders.
In Aserbaidschan gibt es das ungelöste Problem mit Armenien über Berg-Karabach bzw. über die Gebiete Aserbaidschans, die die Armenier besetzt halten und bei denen man eine Lösung finden muß, bevor es zu spät ist.	In Azerbaijan there is still the problem with Armenia over Nagorno-Karabakh and the Armenian-occupied areas of the country, a problem which needs to be resolved before it is too late.
Man hat allzu oft immer wieder die Probleme vor sich hergeschoben, bis sie unlösbar geworden sind. Das könnte sich ohne weiteres morgen in Bosnien bewahrheiten.	All too often problems have been put off and put off until they become completely intractable, as could well soon be the case in Bosnia.
Man braucht sich nur anzuschauen, was sich im Kosovo abspielt.	You only have to watch what is happening in Kosovo.
Aserbaidschan ist für uns auch aus anderen Gründen wichtig.	Azerbaijan is also important to us for other reasons.
Es ist ein Land mit gewaltigem wirtschaftlichem Potential, und wenn sich die Wirtschaft aufgrund der gespannten Situation auch nicht ganz so entwickeln konnte, wie es notwendig gewesen wäre - insbesondere auf dem landwirtschaftlichen Sektor bleibt vieles zu wünschen übrig -, hat dieses Aserbaidschan doch langfristig für uns eine große Bedeutung.	It is a country with enormous economic potential, and even if its problems have meant that its economy has not developed as it should - the farming sector in particular leaves a lot to be desired - it still remains of considerable importance to us in the long term.
Aber es gibt noch einen zweiten Grund, warum Aserbaidschan für uns interessant ist. Das sind die engen Beziehungen zwischen Aserbaidschan und der Türkei.	There is another reason why Azerbaijan is of interest to us: its close relations with Turkey.
Als ich das Mausoleum des Atatürk besucht habe, habe ich in einem Buch, in das die Staatsoberhäupter, die dieses Mausoleum besuchen, ihre Gedanken niederschreiben, vom Präsidenten Aserbaidschans die Worte gelesen: Atatürk, wir melden Dir, Deine Türken sind wieder da.	When I visited Atatürk's mausoleum there was a book in which visiting heads of state could write their thoughts, and Azerbaijan's president had written 'Atatürk, your Turks are back'.
Das war am Ende des sowjetischen Systems, und das zeigt die Bedeutung der Türkei gerade in diesem Raum und die Notwendigkeit einer Zusammenarbeit mit der Türkei, die wir durch alle möglichen Aktionen immer wieder unterbrechen, was unklug ist, langfristig politisch unklug ist.	This was when the Soviet system collapsed, and it shows how important Turkey is in the region and how vital it is to cooperate with Turkey, yet we keep doing all sorts of things that prevent us from cooperating, which is politically very short-sighted.
Gerade die Spannungen zwischen Iran und Afghanistan zeigen uns, welche langfristigen Gefahren hier lauern, denen wir vorbeugen müssen, denn wenn es einmal losgegangen ist, ist es zu spät.	The tension between Iran and Afghanistan shows the sort of long-term risks that we need to prevent from arising in the first place, because once things have started it is too late to turn the clock back.
Darum, glaube ich, müssen wir die Bedeutung von Aserbaidschan erkennen.	This is why I believe we need to recognise the importance of Azerbaijan.
Diese zögerlichen Verhandlungen unsererseits, diese kleinen verschiedenen Punkte, die vielleicht da und dort eine kleine Lösung bringen, befassen sich jedoch nicht mit dem großen Problem.	The negotiations that we have allowed to drag on and all these little details that may help to solve small issues fail to get to grips with the main problem.
Unsere Gesamtbeziehungen zu diesem Raum sind ein Zeichen großer Schwäche, sind von großen Irritationen begleitet und zeigen nur wieder einmal die Notwendigkeit, daß wir möglichst schnell auf diesem Gebiet weiterkommen.	Our overall relations with this whole area are symptomatic of enormous weakness, are causing major irritation and are simply further proof of the need to make rapid progress in this field.
Obwohl es nur ein kleiner Schritt ist, kann ich Herrn Schwaiger nur wärmstens danken für seinen Bericht, und nur hoffen, daß auch seine persönliche Dynamik dazu beiträgt, daß man bei den Beziehungen zu Aserbaidschan weiter große Fortschritte macht.	Although it is only one small step, I should nevertheless like to offer my warmest thanks to Mr Schwaiger for his report, and I can only hope that his dynamism will help to ensure that considerable further progress is made in relations with Azerbaijan.
