Frau Präsidentin, schönen Dank für die zehn Minuten.	Madam President, thank you for the ten minutes.
Ich hatte schon von dem Kollegen eine, dann sind es elf.	I already had one from my honourable colleague, so that makes eleven.
Ich beginne mit meinen dreien.	I shall begin with my own three minutes.
Punkt 1: Wir müssen uns die Zielsetzung dieser flankierenden Maßnahmen, also 2078 und 2080, nochmal klar machen.	First point: We must remind ourselves clearly of the aim of these accompanying measures under Regulations 2078 and 2080.
Herr Fischler, Sie waren damals noch nicht Kommissar, und Österreich war noch nicht in der EU.	Mr Fischler, you were not yet the Commissioner at that time, and Austria was not yet in the EU.
Die Zielsetzung war nicht, ein Innovationsprogramm zu machen, sondern die Zielsetzung war, das sagt der Name, "flankierende Maßnahmen" für eine Preissenkung, die innerhalb des Interventionssystems fehlerhaft vorgenommen wurde und die bestimmte Gebiete, die nicht zu den Höchstleistungsgebieten gehören, in ihrer Wirtschaftlichkeit an die Peripherie gedrückt haben.	The aim was not to create an innovation programme, but rather, as the term 'accompanying measures' suggests, to establish mechanisms to accompany price reductions. These reductions had not been properly implemented and, as a result, certain farming activities outside the high-performance areas had been pushed to the brink of unprofitability.
Hier sollte ein Ausgleich geschaffen werden und die Möglichkeit mit 2080, da, wo etwas aus der Produktion genommen wurde, eine Aufforstung vorzunehmen.	The intention was to compensate for this, which is why Regulation 2080 gives farmers the opportunity to afforest land that has been taken out of production.
Das war die Zielsetzung, die hinter diesen Umweltmaßnahmen stand.	That was the aim behind these environmental measures.
Daß nun daraus - und das ist Punkt 2, Herr Fischler - ein Innovationsprogramm geworden ist, hat nichts mit der Zielsetzung zu tun, sondern ist von den Betroffenen derart genutzt worden.	The fact that it has now developed into an innovation programme - and this is my second point, Mr Fischler - has nothing to do with its aims, but rather with the way it has been used by interested parties.
Österreich ist dafür ein gutes Beispiel.	Austria is a good example.
Sie sind später dazu gekommen und haben gleich dieses Programm genutzt, indem sie die besondere Art der Erzeugung, die sich durch diese Umweltauflagen ergibt, als besondere Qualität der Erzeugnisse in der Vermarktung genutzt haben.	The Austrians joined when the scheme was already operational and soon began to use the special production methods dictated by these environmental requirements as a cachet of quality for marketing purposes.
Das gleiche gilt für die biologischen Betriebe, die ja auch in den Gunstlagen in dieses Programm eingestiegen sind und die deswegen mit diesen eher geringen Ausgleichszahlungen im Umweltbereich leben konnten, weil sie am Markt höhere Preise erzielen konnten.	The same applies to the organic farmers, some of whom are not even based in less-favoured areas, who have also joined this scheme and have been able to live with these rather small compensatory payments because the environmental tag has secured higher prices for their produce.
Wenn hier im Bericht von Herrn Iversen steht, daß ansonsten in den Gunstlagen die Betriebe und die Regionen dieses Programm nicht in Anspruch genommen haben, dann ja genau deswegen, weil diese Maßnahmen und die Zahlungen, die dafür gegeben wurden, in diesen Gebieten den Rückgang der Erträge nicht ausgeglichen hätten.	It says here in Mr Iversen's report that the farmers and regional authorities in the more favoured areas have not otherwise availed themselves of this scheme, but that is precisely because these measures and the payments granted for them would not have compensated for the loss of earnings in these areas.
Also, es war ein flankierendes Programm. Die Betroffenen haben daraus ein Innovationsprogramm gemacht.	So it was an accompanying programme, and the interested parties have turned it into an innovation programme.
Dritter Punkt: Die Frage der Finanzierung.	My third point concerns the funding issue.
Es war ja ein Programm, das unter die obligatorischen Ausgaben fällt.	This scheme, of course, came under the heading of compulsory expenditure.
Ich habe neulich mit dem baskischen Landwirtschaftsminister gesprochen.	I recently spoke to the Basque Agricultural Minister.
Er war in Österreich und war ganz erstaunt, wieviel Österreich aus diesem Programm zieht.	He had visited Austria and was quite astonished to discover how much Austria obtains under this scheme.
Da sage ich, warum habt ihr das in den letzten Jahren nicht getan?	And so I asked him why the Basques had not been doing the same over the past few years.
Es war ein Programm, das von der Kommission notifiziert werden mußte.	It was a notifiable Commission programme.
Es hätte bezahlt werden müssen, weil es zu den obligatorischen Maßnahmen gehörte und aus dem EAGFL-Garantie kam.	Measures would have had to be paid for, because it was a compulsory scheme and was covered by the guarantee section of the EAGGF.
So hätte die Ausweitung dieser Finanzen stattfinden können, und wir hätten heute einen höheren Etat und brauchten uns nicht um diese Ausweitung zu bemühen.	In this way these funds could have been increased, we should have had a higher budget today, and there would have been no need for us to press for this increase.
Letzter Punkt: Es geht um eine Perspektive dieses Programms.	My final point relates to the future of this programme.
Da stimme ich mit Ihnen überein.	Here I agree with you.
Dieses Programm muß in den zweiten Pfeiler eingebaut werden, indem jetzt das, was in der Praxis vollzogen wurde, indem das, was als Umweltprogramm aufgelegt war und zu einem Innovations- und Vermarktungsprogramm mit besonderer Produktion wurde, jetzt zusammengefaßt wird mit einem Strukturprogramm zur integrierten Entwicklung des ländlichen Raums.	This programme must be incorporated into the second pillar, and the way to do this is to take what has actually been done, to take this scheme that was launched as an environmental programme and turned into an innovation and marketing programme for special organic produce, and to combine it all with a structural programme for the integrated development of rural areas.
Also hier bin ich mit Ihnen in Übereinstimmung.	So I am in agreement with you here.
Nicht in Übereinstimmung bin ich natürlich mit Ihnen, daß Sie auch als Kommissar den Fehler machen, ...	What I do not agree with, of course, is that you as a Commissioner are making the mistake of...
(Unterbrechung durch die Präsidentin)	(The President cut the speaker off)
