Herr Präsident! Wenn ich noch einmal beginnen würde, ich würde bei der Kultur anfangen.	Mr President, if I could begin again, I would start with culture.
Bereits dieser Ausspruch des großen europäischen Politikers Jean Monnet verdeutlicht die große Bedeutung der Kultur für das europäische Einigungswerk.	This statement by the great European political figure Jean Monnet clearly illustrates the importance of culture in the European integration process.
Die Europäische Union ist nicht nur eine Wirtschaftsgemeinschaft, sondern eine Wertegemeinschaft, in der vielfältige Sprachen und Kulturen miteinander verbunden sind.	The European Union is not just an economic community, but a community of values incorporating a wide range of languages and cultures.
Europa muß erlebbar und begreifbar gemacht werden. Aus diesem Grund begrüße ich die in diesem ausgezeichneten Bericht vorgeschlagene Beteiligung der Bürger an den kulturellen Aktionen.	Europe must be made into something that people can experience and understand, which is why I welcome the proposals in this excellent report for getting people involved in cultural activities.
Der Anerkennung der beschäftigungspolitischen Aspekte der Kultur auf europäischer Ebene wird ebenso gebührend Rechnung getragen.	Due recognition is also given to the employment aspects of culture at European level.
Bei der Förderung von Ereignissen und Kulturprojekten, die partnerschaftlich oder in Form eines Netzes ausgerichtet werden, ist als Voraussetzung die Teilnahme von drei Mitgliedstaaten vorgesehen.	The requirement is that three Member States must be involved if cultural events or projects to be carried out by partnerships or networks are to receive funding.
Dabei wird aber zu beachten sein, daß die Kommission die erforderliche Infrastruktur zur Verfügung stellt, damit die Partnersuche nicht zu einem unüberwindlichen Hindernis wird.	However, it must be ensured here that the Commission provides the necessary infrastructure so that finding partners does not become an insuperable barrier.
Ein verbessertes Angebot im Bereich von Internet und Datenbanken könnte den Antragstellern Erleichterungen bieten. Erleichterungen würde den Antragstellern ebenso durch verstärkte Transparenz sowie stärkere Information über die Programme geboten werden.	Applicants would find things a good deal easier if more help was provided on the Internet or through data banks, and if there was greater transparency and more information on the programmes.
Um diese Vorschläge auch umsetzen zu können, reicht der von der Kommission vorgeschlagene Weg mit einer Summe von 167 Mio. ECU pro Jahr sicherlich nicht aus. Die vom Europäischen Parlament geforderte Summe von 250 Mio. ECU pro Jahr ist aber angesichts der Summen, die für andere Programme ausgegeben werden, wahrscheinlich ebenso zu gering.	The Commission's proposal of ECU 167 million per year will certainly not be enough to put these proposals into practice, but if we look at the amounts being spent on other programmes, the European Parliament's demands for ECU 250 million per year will probably also be too little.
Für die Durchführung des Programms fordert der Bericht zu Recht eine Konsultation mit Kulturschaffenden. Zusätzlich wäre die Schaffung von europäischen Kulturzentren in den Mitgliedstaaten zu fördern, die den ständigen Kontakt zu den einzelnen Förderinstituten gewährleisten.	The report rightly calls for consultation with cultural operators about the implementation of the programme, and we should encourage the establishment of European cultural centres in the Member States to ensure constant contact with the various aid institutes.
Das wäre ein weiterer wichtiger Baustein zu einer umfassenden europäischen Kulturpolitik.	This would be another important step in the development of a comprehensive European cultural policy.
