Herr Präsident! Kinderhandel ist in Guatemala ein gutes Geschäft.	Mr President, trafficking in children in Guatemala is a lucrative business.
Eine regelrechte Mafia entführt dort Kinder, überredet arme Frauen zur Abgabe, fälscht Geburtsscheine und verkauft die Kinder ins Ausland.	A veritable Mafia kidnaps children, persuades poverty-stricken women to hand over their children, forges birth certificates and sells the children abroad.
Ein Notar reicht, um eine Adoption zu bestätigen.	Even a notary public has the power to authorise adoptions.
Preise von 15.000 bis 20.000 Dollar für ein Kind sind keine Seltenheit.	Prices of 15 000 to 20 000 dollars per child are not unusual.
Laut Guatemalas Gesetzbuch ist Kinderhandel kein Verbrechen, eine Bestrafung ist nicht vorgesehen.	Under the Guatemalan penal code, trafficking in children is not a crime and does not carry a penalty.
Alle Länder der Region haben in den letzten Jahren ihre Gesetze geändert, um diesem menschenverachtenden Mißbrauch ein Ende zu setzen, nur Guatemala noch nicht.	All the countries in the region have amended their laws in recent years in order to eliminate this inhuman and exploitative practice, but Guatemala has not yet taken that step.
Dafür ist jetzt höchste Zeit.	It is now high time it did.
Ebenso muß Guatemala unverzüglich die Haager Konvention zur Adoption ratifizieren und durch die Inkraftsetzung des Kinder- und Jugendkodex seinen Verpflichtungen im Rahmen der UN-Kinderkonvention nachkommen.	Guatemala must also proceed without delay to ratify the Hague Convention on Inter-Country Adoption and must meet its obligations under the UN Convention on the Rights of the Child by promulgating its Juvenile and Adolescent Code.
Adoptionen sind bisweilen ein letzter Rettungsanker. Das Kind sollte dabei möglichst in kultureller und geographischer Nähe zu seiner Herkunft bleiben.	Adoptions are sometimes a valid last resort, but the child should remain as close as possible to its cultural and geographical roots.
Unter keinen Umständen aber sind Adoptionen ein Beitrag zur Entwicklungshilfe. Enwicklungshilfe bedeutet nämlich, daß die Voraussetzungen dafür geschaffen werden, daß die Kinder im eigenen Land aufwachsen können.	Adoptions, however, can never be a contribution to development aid, because development aid means creating the conditions in which children can grow up in their own countries.
Das bitte ich doch festzuhalten.	I urge everyone to bear that in mind.
