Herr Präsident, Frau Kommissarin! Sie haben auf die Rolle Amerikas hingewiesen.	Mr President, Commissioner, you referred to the role of the United States.
Ich glaube, heute muß es um etwas anderes gehen.	I believe the issue today is a different one.
Es muß darum gehen, daß die Europäische Union eine Vorreiterrolle einnimmt.	It is about the need for the European Union to take the lead here.
Damit wir gleich Klartext reden: Es darf nicht um ein Stehlen aus der Verantwortung durch Schlupflöcher im Protokoll wie das emission trading gehen.	To put it plainly, loopholes in the Protocol such as the scope for emissions trading must not be used as a means of wriggling out of responsibility.
Da sind wir gleich bei der Frage: Wo bleiben denn die Maßnahmen?	Which takes us straight to this question: what has happened to the promised measures?
Ich möchte von Ihnen auch konkret wissen: Was passiert denn jetzt mit der Umsetzung des Weißbuches für erneuerbare Energien?	I should also like to hear from you exactly what is to happen now with regard to the implementation of the White Paper on renewable energy sources?
Sie haben auf die Schlüsselfrage hingewiesen, die die Energiesteuer spielt.	You referred to the key role that the energy tax is to play.
Gut, wir haben jetzt einen Vorschlag zur Energieverbrauchssteuer, doch das ist doch nur ein Trippelschritt!	All right, we now have a proposal on an energy consumption tax, but that is surely a tiny step.
Die Kommission selbst hat doch zugegeben, daß trotz dieses Vorschlages die Emissionswerte bis zum Jahre 2010 um 6 % steigen werden.	After all, the Commission itself has admitted that the implementation of this proposal will not prevent a 6 % increase in emission levels by the year 2010.
Was haben Sie gesagt zum schwierigsten Sektor Verkehr?	What did you say about the most intractable problem of all, namely transport?
Wir wissen, daß hier der Anstieg der CO2 -Emission bis zum Jahr 2010 um 38 % zunehmen wird.	We know that CO2 emissions by vehicles are set to rise by 38 % between now and 2010.
Und auch da - bitte, beantworten Sie doch mal, was die Kollegen schon gefragt haben: Wann kommt endlich eine Kerosinbesteuerung?	Here too, I would ask you to answer the questions my fellow Members have been asking. When will kerosene finally be taxed?
Wann machen Sie ernst mit dem Versprechen, das uns bereits im letzten Jahr gegeben wurde?	When will you make some serious efforts to honour the promise that was made to us last year?
Handeln ist gefragt, nicht Papier und nicht Lyrik.	We need action, not paper and not fine words.
