Herr Präsident, liebe Kolleginnen und Kollegen! Haben Sie es etwa vergessen?	Mr President, ladies and gentlemen, have you forgotten?
Wir leben in einer Zeit nach dem Kalten Krieg.	We are living in a post-cold war era.
Europa ist nur von Freunden umgeben.	Europe is surrounded only by friends.
Es ist eine Zeit des Friedens.	This is an age of peace.
Es ist die Zeit für Abrüstung.	It is the age of disarmament.
Es ist die Rüstungsindustrie, die nicht bereit ist, sich diesen neuen Maßstäben einer Abrüstungszeit anzupassen und die Alarm schlägt.	It is the arms industry that is not prepared to adapt to the new criteria of an age of disarmament and that is sounding the alarm.
Sie fordert industrielle Konzentrationsprozesse, die im zivilen Bereich nicht genehmigungsfähig wären.	It is calling for industrial mergers that would not be approved in the civil sector.
Sie fordert Subventionierung, sie fordert politische Unterstützung für Rüstungsexporte, sie fordert Lockerungen in der Kartellpolitik.	It is calling for subsidies, for political support for arms exports; it is calling for a more flexible policy on cartels.
Was zwingt uns, diesen Forderungen nachzugeben, wo wir wissen, daß es sinnlos ist, wo wir wissen, es löst nicht die globalen Probleme der Menschheit, die Probleme der Arbeitslosigkeit und Armut, die Probleme der Klimaveränderung?	What forces us to give in to these demands when we know that it would be senseless to do so, when we know that this will not solve the global problems facing mankind, the problems of unemployment and poverty, the problems of climate change?
Vergessen Sie nicht, wir haben KONVER geschaffen, weil es ein Ersatz für Aufrüstung sein sollte und nicht eine Ergänzung.	Do not forget that we created Konver to replace rather than supplement rearmament.
Deshalb lehnen die Grünen diesen Bericht ab.	That is why the Greens reject this report.
