Herr Präsident! Den Rat reformieren zu wollen ist wohl die schwierigste aller Aufgaben.	Mr President, reforming the Council is probably the most difficult task of all.
Es bedeutet nämlich in der Praxis nichts anderes, als an den Rat zu appellieren, sich selbst zu reformieren.	In practice it simply means calling on the Council to reform itself.
Deshalb überrascht es mich auch nicht, daß er bei diesem Appell nicht einmal anwesend ist und daß ihm die Reformvorhaben des Parlaments relativ gleichgültig sein können.	So I am not surprised to find it was not even present to listen to this appeal and that it seems to be fairly indifferent to Parliament's reform project.
Der Rat ist die Achillesferse der europäischen Demokratie, um nicht zu sagen ihr Schwarzes Loch.	The Council is the Achilles heel of European democracy, if not the black hole.
Das liegt an seinem amphibischen Wesen.	That is because of its amphibious nature.
Als europäische Institution entzieht er sich ständig den nationalen Parlamenten und den nationalen und europäischen Gerichten.	As a European institution it is constantly distancing itself from the national parliaments and the national and European courts.
Dem Europäischen Parlament entzieht er sich ständig, indem er sich als Versammlung der Mitgliedstaaten darstellt.	It is constantly distancing itself from the European Parliament by presenting itself as a meeting of the Member States.
Daher habe ich nicht allzu viel Hoffnung, daß dieses Schwarze Loch der Demokratie geschlossen werden kann, daß es endlich zu einer Öffentlichkeit der Gesetzgebung kommt, daß es zu Mehrheitsentscheidungen kommt, daß es zu einer Demokratisierung der zweiten und dritten Säule kommt.	That is why I do not have any real hope that this black hole of democracy can be closed, that we will finally see open legislation, majority decisions, the democratisation of the second and third pillar.
Eine derartige Regierungszusammenarbeit wird immer mehr zum demokratischen Niemandsland.	This kind of governmental cooperation is increasingly becoming a democratic no man's land.
Ich gratuliere dem Berichterstatter zu seinen Versuchen, hier eine Reform wenigstens zu skizzieren.	I congratulate the rapporteur on his attempts to at least sketch out the broad lines of reform here.
Ich möchte ihn auch zu seinem Raffinement beglückwünschen, mit dem er eine revolutionäre Machtverschiebung zugunsten der großen Staaten vorschlägt und dies gleichzeitig als Beibehaltung der derzeitigen Balance darstellen kann.	I also congratulate him on the clever way in which he proposed a revolutionary shift of power in favour of the large states while presenting this as maintaining the existing balance.
Das ist ein besonders gelungener intellektueller Vorschlag.	That is a particularly successful intellectual proposal.
