Herr Präsident, SOKRATES ist eine großartige Idee.	Mr President, Socrates is a wonderful idea.
Ich kann als Hochschullehrer Jahr für Jahr das nachvollziehen, was Doris Pack ganz allgemein geschildert und zu Recht positiv hervorgehoben hat, aber auch zu Recht beklagt hat.	As a university teacher I can only endorse, year after year, what Doris Pack has described in general terms and has rightly highlighted as positive, as well as what she has rightly criticised.
Eine hervorragende Idee, aber mit der Finanzierung hapert es.	The idea is wonderful, but the stumbling block is the funding.
Wir haben erst vor wenigen Wochen an der Universität die Stipendienvergabe gehabt, und ich erinnere mich noch an die Begeisterung, mit der die jungen Leute ihre Studienorte Rom, Paris, Triest, Thessaloniki und ähnliches angehört haben, und ich erinnere mich auch noch an die Tränen, die bei denen geflossen sind, bei denen es nicht mehr zu einem Studienplatz gereicht hat.	Only a few weeks ago we had to award grants at my university and I well remember the enthusiasm of the young people who heard that they could now study in Rome, Paris, Trieste, Thessalonica and elsewhere, just as I remember the tears of those who could not do so because of lack of funds.
Ich erinnere mich und erlebe es eigentlich Woche für Woche mit großer Freude, wieviel zusätzliche Bereicherung während der Lehrveranstaltung im traditionellen akademischen Jahr ein Erasmus-Student auch seinem Studienort bringen kann.	I remember, and in fact see it again week after week with great pleasure, how much an Erasmus student can do for his or her place of study abroad during a traditional academic year.
Aber wie gesagt, mit dem Geld haben wir Probleme.	But as we said, the problem is the money.
Wir erweitern, und wir erweitern auch zu Recht in den Bereich der mittel- und osteuropäischen Länder hinein.	We keep enlarging, and we are right to enlarge towards the Central and Eastern European countries.
Wir versuchen hier ganz bewußt, Horizonte zu öffnen.	We are deliberately trying to open up new horizons there.
Aber - und das ist etwas, was mir vor allem in den letzten Wochen stark zu denken gegeben hat -, wenn ich die Bewerbungen, die ich bekommen habe, mit den Bewerbungen vergleiche, die vor zwei, drei Jahren typisch waren, dann sehe ich einen riesigen Unterschied, nämlich daß sich bei sehr vielen Bewerbungen Leute um ein Stipendium bemühen, die es eigentlich nicht mehr bräuchten, die bereits den zweiten, dritten, vierten Studienauslandsaufenthalt hinter sich haben.	But - and this is something I have thought about very deeply in recent weeks - when I compare the applications before me now with the typical applications of two or three years ago, I find there is a huge difference, namely that a great many people apply for grants who really do not need them any more, who already have two, three or four study periods behind them.
Nur, Bewerbungen, die ich nicht mehr oder in immer geringerer Zahl erhalte, sind die Bewerbungen, die wir eigentlich als Anlaß für ERASMUS und SOKRATES nehmen wollten und nehmen sollten, nämlich Bewerbungen von jungen, guten Kandidaten mit Sprachkenntnissen, mit Engagement, mit der Bereitschaft, sich hier einzubringen, aber ohne diese Möglichkeiten schon ein bis zweimal im curriculum vitae gehabt zu haben.	In fact, I no longer tend to receive applications or receive fewer and fewer applications from good, young candidates with linguistic knowledge, who are committed, who are prepared to make their contribution but who have not already had one or two previous study opportunities in the course of their curriculum vitae .
Da meine ich, daß wir nicht mit Kürzung agieren dürfen, sondern daß wir alle gemeinsam alles daran setzen müssen, um hier für unsere europäische Jugend die Chancen so werden zu lassen, wie wir sie uns alle wünschen.	So I think we must not cut the funding but must jointly do all we can to offer the young people of Europe the kind of opportunities we would all wish them to have.
