Herr Präsident! Ich kann als Berichterstatter und als Sprecher dagegen sprechen.	Mr President, I can oppose this both as rapporteur and on my own account.
Ich möchte eindeutig folgendes festhalten: Erstens, seit Jahren geht der Frachtverkehr über die Eisenbahn zurück, seit Jahren gibt es immer weniger Beschäftigung.	I should like to make the following quite clear: firstly, rail freight has been declining for years, as has employment in the sector.
Daher ist es absolut notwendig und an der Zeit, Reformen des europäischen Eisenbahnwesens anzugehen.	That is why it is absolutely essential and high time to reform the railways.
Das ist die Idee des Berichts von Kollege Sarlis und mir.	That is the idea behind my own and Mr Sarlis's reports.
Zweitens: Leider hat gestern der Kommissar manchen unserer Punkte abgelehnt.	Secondly, it is unfortunate that the Commission rejected some of our points yesterday.
Daher ist es auch an der Zeit, der Kommission gegenüber unseren Standpunkt klar darzulegen.	That is why it is also high time to explain our point of view clearly to the Commission.
Es ist nicht der Standpunkt einer unbegrenzten, undifferenzierten Liberalisierung, sondern es ist der Standpunkt einer sinnhaften Europäisierung des Eisenbahnwesens.	We are not calling for unlimited, broad-brush liberalisation; we are calling for a sensible approach towards giving the railways more of a European dimension.
Das müssen wir erreichen, und daher bitte ich wirklich, heute darüber abzustimmen.	We have to achieve this, and that is why I really do ask that we put this to the vote today.
Wir haben lange im Ausschuß darüber diskutiert, die einzige Gegenstimme kam von Frau Moreau.	We have discussed it at length in the committee; Mrs Moreau was the only one to vote against.
Daher ist es wichtig, heute abzustimmen.	That is why it is important for us to vote today.
Beifall	Applause
