Herr Präsident! Ich habe bei dieser Diskussion sehr genau zugehört.	Mr President, I have listened very carefully indeed to this discussion.
Es werden immer wieder Dinge gesagt, die mit der Realität nichts mehr zu tun haben.	People keep saying things that no longer bear any relation to reality.
Man spricht davon, wieder zu Verhandlungen überzugehen.	They say we must return to the negotiating table.
Wie lange hat man schon verhandelt, und es ist nichts dabei herausgekommen, außer daß es immer schlechter wurde.	Think how long we went on negotiating, without any result except that the situation became ever worse.
Man muß endlich die Situation realistisch sehen und feststellen: Wenn wir glaubwürdig sein wollen, müssen wir in unserer demokratischen Gesinnung glaubwürdig sein.	We must finally look at the situation realistically and realise that if we want to be credible we have to take a credible democratic stance.
Das heißt, daß nicht die Völker für die Staaten, sondern die Staaten für die Völker da sind.	That means realising that people are not there for countries, but countries for people.
Wenn man daher den Kosovaren zumutet, daß sie wieder unter die Herrschaft derjenigen zurückkehren, die sie aus ihrer Heimat vertrieben und ihre Familien ermordet haben, dann verlangt man etwas, was ein Mensch nicht erfüllen kann.	So if we expect the Kosovars to return under the rule of those who drove them out of their homes and murdered their families, we are asking something humanly impossible.
Wir sollten endlich absolut realistisch und sachlich sein.	We should finally be totally realistic and pragmatic.
Man spricht immer wieder davon, daß eventuell Bodentruppen eingesetzt werden können.	People keep saying that ground troops could perhaps be deployed.
Ich halte das für einen großen Irrtum, denn europäische Bodentruppen haben schon oft in diesem Gebiet versagt.	I think that is a big mistake because European ground troops have often failed in their aims in this region.
Die Kosovaren jedoch sind in ihrem Heimatland.	But the Kosovars are in their home country.
Ich selbst habe in Kroatien erlebt - und ich bin in der Zeit des Krieges oft in Kroatien gewesen -, daß die Kroaten dann erfolgreich waren, wenn sie ungefähr die gleichen Waffen wie die Serben hatten.	I myself saw in Croatia - and I was often in Croatia during the time of the war - that the Croats were successful when they had more or less the same weapons as the Serbs.
Sie haben sie vor sich her gejagt, denn die Menschen, die den eigenen Boden verteidigen, sind viel stärker als die Aggressoren, die immer noch mit einem schlechten Gewissen kommen.	They chased them out, for people who are defending their own territory are far stronger than the aggressors who always come with a bad conscience.
Abschließend noch etwas Ermutigendes: Man fragt immer, was wird dann mit den Serben werden?	Finally, let me say something encouraging. People keeping asking what will then become of the Serbs.
Erst einmal: Milosevi ist nicht Serbien.	First of all, Milosevic is not Serbia.
Die Serben sind nicht Milosevi, genauso wie die Deutschen nicht Hitler waren.	The Serbs are not Milosevic, just as the Germans were not Hitler.
Aber man muß endlich verstehen, daß wir mit Milosevi keinen Frieden schließen können, weil er immer wieder mit seinen Verbrechen anfangen wird.	But we must finally realise that we cannot make peace with Milosevic because he will only start to commit his crimes all over again.
Das zweite ist: Wir müssen alles versuchen, damit hier eine realistische und keine illusorische Politik verfolgt wird.	Secondly, we must do our utmost to ensure that the policy pursued here is based on realism and not on illusion.
