Herr Präsident, liebe Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, let me begin on a personal note.
Eine persönliche Bemerkung vorweg: Ich freue mich, daß ich als erster Redner meiner Fraktion den deutschen Bundeskanzler als Präsident des Europäischen Rates hier im Europäischen Parlament begrüßen darf, und jeder wird verstehen, daß ich mich als Sozialdemokrat besonders darüber freue, vor allen Dingen nach der Rede, die Sie eben gehalten haben, Herr Ratspräsident!	I am happy to be the first speaker for my group to welcome the German Chancellor as President-in-Office of the European Council to the European Parliament; everyone will understand that as a Social Democrat I am particularly glad to do so, especially following the statement you have just made, Mr President-in-Office of the Council!
Beifall	Applause
Selten hatte eine Ratspräsidentschaft so wichtige Entscheidungen zu treffen wie in den ersten drei Monaten Ihrer Amtszeit, und nun mag man zu den Entscheidungen im einzelnen stehen wie man will, eines ist klar geworden: Unsere Europäische Union hat ihre Handlungsfähigkeit bewiesen, und dafür danken wir Ihnen.	Rarely has a presidency of the Council had to take such important decisions as you have in the first three months of this presidency's term of office, and whatever people may think of particular aspects of the decisions, one thing has become clear: our European Union has proved its ability to act, for which we thank you.
Unter Ihrem Vorsitz hat der Europäische Rat binnen einer Stunde einen Kandidaten für das Amt des Kommissionspräsidenten benannt, ein Vorgang, der vor fünf Jahren noch mehr als zwei Gipfelkonferenzen verschlissen hat.	Under your presidency the European Council nominated a candidate for the post of President of the Commission in the space of one hour, a process that dragged on over more than two summit conferences five years ago.
Das ist schon etwas wert in dieser Union.	That is certainly worth something in this Union.
Wir werden jetzt dafür sorgen, daß unsere Zustimmung zu Herrn Prodi noch in dieser Wahlperiode des Parlaments - also im Mai - erfolgt und daß über die gesamte Kommission spätestens Anfang September abgestimmt wird.	We will now ensure that we approve Mr Prodi's appointment during this electoral term of Parliament - i.e. in May - and that we vote on the entire Commission by early September at the latest.
Das stimmt mit Ihrem Zeitplan, denke ich, überein.	I think that tallies with your timetable.
Im übrigen, der Rücktritt der Kommission war keine institutionelle Krise, im Gegenteil.	For the rest, the resignation of the Commission was not an institutional crisis, quite the contrary.
Ich sehe in ihm einen Schritt in die europäische Normalität.	I see it as a step towards European normality.
Es muß normal sein, daß das Parlament kontrolliert und sanktioniert, und es muß normal sein, und es wird künftig auch normal sein, daß die Organe der EU für Mängel und Fehler die politische Verantwortung übernehmen.	Surely it is normal for Parliament to control and sanction, and surely it is and will remain normal in future too for the EU bodies to assume political responsibility for inadequacies and mistakes.
Beifall	Applause
Daß das nun zum ersten Mal geschehen ist, das allerdings verdient auch unseren Respekt.	The fact that this has now happened for the first time also deserves our respect.
Jetzt kommt es auf eine gründliche Reform der Verwaltungsstruktur und der Verwaltungskultur in Brüssel an, und das ist nicht nur eine Aufgabe für die neue Kommission, sondern auch für Sie im Rat und für uns im Parlament.	What we need now is a radical reform of the administrative structure and the administrative culture in Brussels, and that is not a task just for the new Commission but also for you in the Council and for us in Parliament.
Wir wollen nicht eine schwächere, sondern eine stärkere Kommission.	We want not a weaker but a stronger Commission.
Die neue Kommission muß das werden können, was sie sein muß, nämlich eine europäische Regierung.	The new Commission must be able to become what it must become, namely a European government.
Wenn man der Kommission Aufgaben überträgt, muß man auch dafür sorgen, daß sie die Mittel für das nötige Personal erhält, um diese Aufgaben auch erfüllen zu können.	It we transfer tasks to the Commission, we must also ensure that it is given the funds for the staff it needs in order to fulfil these tasks.
