Herr Präsident! Es finden sich viele außerordentlich gute Punkte in der Entschließung.	Mr President, there are many extremely good points in this resolution.
Ich habe mich dennoch wegen der Annahme eines Änderungsantrags der Grünen enthalten, durch den versucht wird, uns auf eine Autonomielösung des Kosovo innerhalb der Grenzen Jugoslawiens festzulegen.	Nevertheless, I abstained because of the adoption of the Greens' amendment which sought to tie us down to a solution whereby Kosovo would be autonomous within the Yugoslav borders.
Solche Formeln konnten noch vor einigen Wochen und Monaten durchaus als Diskussionsgrundlage dienen.	Several weeks and months ago, such formulas could certainly have provided a basis for discussion.
Heute sind sie von der Entwicklung überholt.	But they have now been overtaken by developments.
Wenn es nicht zu einer Beseitigung des Milosevi-Regimes kommt, wird es überhaupt keine Möglichkeit zu einer solchen Lösung geben. Ich sehe auch sonst kaum diese Möglichkeit.	Unless the Milosevic regime is removed, such a solution can never be an option. And even if it were removed, the prospects for such a solution would still be slim.
Man kann nicht jemanden zwingen, mit dem Mörder der eigenen Familie in einer gemeinsamen Wohnung, in einem gemeinsamen Staat, zusammenzuleben.	It is impossible to force people to live in the same place, in the same state, as the murderers of their families.
Deshalb glaube ich, daß dieser Ansatz völlig irreal ist.	That is why I believe that this approach is totally divorced from reality.
Wir hätten uns in dieser Frage nicht festlegen dürfen.	We should not have committed ourselves to a specific solution.
Gut ist, daß vorbehaltlos das militärische Engagement der NATO, das notwendig, richtig und gut ist, und auch die Festigung der Nachbarstaaten unterstützt werden.	What is good is that the House has unreservedly supported the military action by NATO, which is necessary, appropriate and justified, as well as the aim of bolstering Serbia's neighbours.
Ich vermisse allerdings eines: Wir sollten endlich auch ein starkes Signal in Richtung Kroatien senden, das ein wichtiger Stabilisierungsfaktor in der Region ist, das aber von uns in einer einseitigen Art und Weise geradezu mit Nichtachtung gestraft wird.	One thing, however, seems to be missing from the resolution: it is high time we also sent a strong signal to Croatia, which is a major stabilising factor in the region but has been the victim of what amounts to blinkered disregard on our part.
Ich fordere dringend den Abschluß eines Handels- und Kooperationsabkommens mit Kroatien.	I earnestly appeal for the conclusion of a trade and cooperation agreement with Croatia.
