Herr Präsident!	Thank you Mr President.
Bei allem Respekt, Sir Brittan, wir müssen die Diskussion jetzt führen, und wenn Sie sagen, es gibt keinen Grund zur Panik für den Verbraucher, wir haben ja das Verbot, dann muß ich sagen, wir standen kurz davor, dieses Verbot aufzugeben, und es geht hier, wie Frau Mann sagt, sicherlich um die Frage des way of life in Amerika und Europa.	With all due respect, Sir Leon, we have to discuss this now, and when you say that there is no reason for consumers to panic because we have the ban, then I have to say that we are on the brink of lifting the ban and, as Mrs Mann said, this is undoubtedly about the different ways of life in America and Europe.
Es geht aber auch um handfeste Interessen von Hormonerzeugern und Anwendern hier in Europa, Herr Kittelmann, das merkt man bei Ihrer Rede, die ja jetzt so windelweich daherkommt.	However, it is also about the huge interests of hormone producers and users here in Europe, Mr Kittelmann, as is apparent from your speech and the softly-softly manner in which it was made.
Wir haben jetzt nämlich genau das: keine Emotionen, sondern den wissenschaftlichen Beweis - und zwar wie gefordert, qualitativ, nicht die quantitative Absicherung -, daß Hormonanwendung schädlich ist, daß sie gesundheitsgefährdend ist, daß sie krebserregend ist, daß sie die Pubertät der Mädchen früher beginnen läßt, wenn ich das übersetze, was hier drin steht.	In fact, we now have exactly what you wanted: no emotion, but the scientific proof - and, as requested, this is qualitative not quantitative - that the use of hormones is harmful, that they pose a risk to health, that they are carcinogenic and that they cause puberty to begin prematurely in girls; I am just translating what it says here.
Was wir immer schon gesagt haben und worauf wir hingewiesen haben: Sexualhormone anzuwenden bedeutet eben, daß der Hormonhaushalt genau in dieser sensiblen Phase bei Kindern durcheinander gerät.	This is what we have repeatedly stated and pointed out in the past: the use of sex hormones disturbs the hormonal balance in children at this particularly sensitive time.
Sir Brittan, hier muß man den Verbraucherschutz als vorrangig ansehen, und es ist keine rechtliche Frage, sondern die rechtliche Frage ist dem Verbraucherschutz und der Vorsorge für unsere Bürger nachzuordnen.	Sir Leon, consumer protection must take priority here, and this is not a legal issue; the legal issue should take second place to consumer protection and preventing the public from harm.
Es geht auch nicht darum, Herr Mulder, daß man hier die WTO-Verhandlungen und -Regeln nicht einhält.	Neither, Mr Mulder, is it about not complying with WTO rules and negotiated agreements.
Wir wollen sie sehr wohl einhalten, aber wir müssen sie mit unseren Mitteln gestalten, und wir müssen sie auch in der Auseinandersetzung und im sozialen und ökologischen Bereich, wir müssen sie im Gesundheitsbereich und im kulturellen Bereich weiterentwickeln.	We want very much to comply with them, but we need to have some input into them and we need to develop them further where dispute settlement is concerned, as well as in the social and environmental fields and in the fields of health and culture.
Sir Brittan, wir haben gesehen, wenn es zur Anwendung derartiger zweifelhafter Mittel kommt, dann ist Tür und Tor geöffnet, auch dem verbotenen Einsatz.	Sir Leon, we have seen that when dubious substances of this kind are used, the floodgates are opened, including for illegal use.
Wir sehen es ja jetzt bei den Proben, die die Kommission gezogen hat, daß Hormonanwendung von verbotenen Hormonen in den USA auch stattfindet und daß die Zusage, daß hormonfreies Fleisch hierhin kommt, nicht stimmt.	In fact we can see it now with the samples which the Commission has taken that banned hormones are being used in the USA, and that it is not true that the meat which comes here is hormone-free.
Das heißt, wir würden, wenn wir dieses Hormonverbot aufgeben, auch hier die Hormonanwendung mit all den negativen Konsequenzen zulassen müssen.	That means that if we were to lift this hormone ban, we would have to authorise the use of hormones here, with all their adverse consequences.
Sir Brittan, im Bereich der Arzneimittel mag man eine Nebenwirkung in Kauf nehmen, bei Nahrungsmitteln darf es diese Nebenwirkungen nicht geben, und hier muß die Beweisumkehr in der Weise geschehen, daß diejenigen, die diese Mittel produzieren und anwenden wollen, ihre Unschädlichkeit beweisen müssen.	Side-effects might be acceptable where medicines are concerned, Sir Leon, but with food there should be no such side-effects, and here the burden of proof needs to be reversed so that those who wish to produce and use these substances have to prove that they are harmless.
Dahingehend müssen wir die WTO-Verhandlungen führen und dann unseren europäischen way of life ins Gespräch und zur Durchsetzung bringen.	That is what we should say in the WTO negotiations, and we should raise the issue of our European way of life and ensure that we are able to keep it.
