Sehr geehrter Herr Präsident, sehr geehrte Frau Kommissarin, liebe Kolleginnen und liebe Kollegen!	Mr President, Commissioner, ladies and gentlemen, first let me turn to the positive aspects.
Ich möchte das Positive voranstellen. Für den ökonomischen und sozialen Zusammenhalt und damit für das Herzstück des europäischen Gesellschaftsmodells ist es von existentieller Bedeutung, daß es gelungen ist, die neue Verordnung rechtzeitig vor dem Ende der Wahlperiode des Europäischen Parlaments zu einem Abschluß zu bringen.	It is vitally important to economic and social cohesion and therefore to the very core of the European social model that the new regulation was adopted in good time, before the end of the European Parliament's electoral term.
Der Fortgang der Förderung wird damit garantiert.	That guarantees the continuation of the funding.
Der Preis dafür ist allerdings sehr hoch.	However, the price is very high.
Die finanziellen Kürzungen beim Herzstück der europäischen Integration werden die Regionen nun mit intelligenteren Konzepten ausgleichen müssen.	The regions will now have to compensate for the financial cuts at the very heart of European integration by putting forward more intelligent plans.
Ich fordere diesbezüglich die Kommission auf, ihre Kontrollfunktion wirklich ernsthaft wahrzunehmen und die Zielformulierungen der neuen Verordnung - nachhaltige Entwicklung, Beschäftigungsförderung, Förderung der Chancengleichheit von Frauen und Männern, Verbesserung der Umwelt, Förderung von kleinen und mittelständischen Unternehmen - wirklich in ihren Programmen durchzusetzen und nicht wieder vor den Mitgliedstaaten zurückzuscheuen.	In this regard I call on the Commission to apply its control function really seriously and genuinely to pursue in its programmes the objectives formulated in the new regulation - sustainable development, promotion of employment, promotion of equal opportunities for women and men, environmental improvement, support for small and medium-sized undertakings - and not to shy away from them again in face of the Member States.
Das Ergebnis von Berlin - das wurde heute schon gesagt - läßt nämlich die erhoffte Reform vermissen.	The result of Berlin, as has already been said today, is not quite the reform we hoped for.
Nachdem das Parlament die Rechte der Bürger und Bürgerinnen Europas durch ein umfassendes Partizipationsprinzip im Verordnungsentwurf erweitert hat - und nur das ist die Grundlage, daß Planung auch nachhaltig umgesetzt werden kann -, stellt der Rat dieses gemeinsame Anliegen in die Beliebigkeit der Mitgliedstaaten.	After Parliament increased the rights of the people of Europe by incorporating a comprehensive principle of participation in the draft regulation - and this is the only basis for sustainable planning - the Council is now leaving this common concern to the discretion of the Member States.
Das sehe ich als das größte Problem der neuen Verordnung an.	I regard that as the main problem with the new regulation.
Bei der Anwendung der Fonds zu integrierten Entwicklungskonzepten muß traditionelles Ressourcendenken überwunden werden.	When the funds are used for integrated development plans, the traditional way of thinking in terms of resources must be overcome.
Es gibt Möglichkeiten in der Verordnung, aber ich kenne inzwischen auch die Widerstände auf der Ebene der Mitgliedstaaten.	The regulation does offer possibilities, but I have since become aware of the resistance at Member State level.
Das bedeutet nämlich, lokale Entwicklungsinitiativen müssen Mittel aus ESF und EFRE bekommen, um ihren Beitrag zur Bekämpfung der Arbeitslosigkeit wirklich leisten zu können.	What this means is that local development initiatives must obtain ESF and ERDF funds if they really are to be able to combat unemployment.
Mit der neuen Strukturfondsverordnung ist es gelungen, die Kohäsionspolitik weiterzuführen.	Under the new Structural Funds regulation it has proved possible to continue the cohesion policy.
Aber eine Reform ist es nicht!	But that is not a reform!
Effizienz, Verwaltungsvereinfachung und Konzentration sind auf der Strecke geblieben.	Efficiency, administrative simplification and concentration have fallen by the wayside.
Sie fielen dem Beichtstuhlverfahren und den dort verteilten Geschenken zum Opfer.	They were sacrificed to the confessional procedure and the favours handed out there.
Meine Schlußfolgerung daraus ist: Wenn es nicht endgültig gelingt, das europäische Interesse über die nationalen Interessen zu stellen, dann schaffen wir es nicht, zu einer wirklich fortschrittlichen ökonomischen und sozialen Kohäsionspolitik zu kommen.	I conclude from this that if we do not finally manage to place the European interest above national interests we will not manage to achieve a genuinely progressive economic and social cohesion policy.
