Herr Präsident! Seit wenigen Tagen ist der Amsterdamer Vertrag in Kraft.	Mr President, the Amsterdam Treaty has been in force for just a few days.
Dieser Vertrag gibt dem Europäischen Parlament endlich mehr Rechte, um eine der ureigensten Aufgaben eines Parlaments wahrzunehmen, nämlich mitzuentscheiden und die anderen Institutionen zu kontrollieren.	It finally gives the European Parliament more rights with which to carry out one of the most important duties of a parliament, namely involvement in decision-making and controlling the other institutions.
Es war exakt diese Begründung, die uns vor einem Jahr veranlaßte, eben nur dem Interimsabkommen mit Mexiko zuzustimmen und unsere Zustimmung zum Globalabkommen erst dann zu geben, wenn alle Teilbereiche des Vertrags fertig ausgehandelt sind.	It was precisely this which justified our decision a year ago to agree to just the Interim Agreement with Mexico, and to give our assent to the Global Agreement only once negotiations on all parts of the Treaty had come to a close.
Wir wollten der Kommission keinen Blankoscheck ausstellen.	We did not want to give the Commission carte blanche .
Das war übrigens auch die wörtliche Begründung unserer Berichterstatterin, Frau Ana Miranda de Lage.	Incidentally, these were the words used by our rapporteur, Mrs Miranda de Lage, to justify the decision.
Auch das mexikanische Parlament hat im übrigen dem Abkommen nur unter der Maßgabe zugestimmt, daß es nach dem Abschluß der Verhandlungen noch einmal konsultiert wird.	The Mexican Parliament also only approved the agreement on the condition that it will be consulted again once the negotiations have come to a close.
Es ist also nicht fair zu behaupten, die Mexikaner hätten dem Abkommen längst zugestimmt.	It is therefore not fair to claim that the Mexicans accepted the agreement a long time ago.
Seitdem hat sich an der Lage nichts geändert.	There has been no change in the situation since.
Es gibt kein neues Kommissionspapier, über das wir befinden könnten.	There has been no new Commission paper on which we could make a decision.
Die Verhandlungen werden sich noch lange hinziehen, und die Zivilgesellschaft in Mexiko ist höchst unzufrieden.	The negotiations will last for a long time yet, and civil society in Mexico is extremely dissatisfied with this.
Auch verschiedene Parteien, wie die PRD, die uns auch geschrieben hat, und die Grünen im mexikanischen Parlament, sind nicht einverstanden mit dem Ablauf der Verhandlungen.	Various parties, such as the PRD, which has also written to us, and the Greens in the Mexican Parliament do not agree with the way the negotiations are taking place.
Sie dringen auf eine grundlegende Umorientierung und bitten uns nachdrücklich, jetzt noch nicht zuzustimmen.	They insist on the need for a fundamental change in direction and strongly urge us not to give our assent yet.
Es wäre also aus meiner Sicht vollkommen unverantwortlich den europäischen Bürgern und Bürgerinnen, aber auch unseren mexikanischen Partnern gegenüber, das Heft jetzt aus der Hand zu geben.	In my view, it would therefore be completely irresponsible towards European citizens, but also towards our Mexican partners, to hand over control now.
Warum stimmen wir jetzt etwas zu, was in seiner Gesamtheit noch nicht da ist?	Why are we agreeing now to something that does not yet exist in its entirety?
Es macht doch für die Kommission überhaupt keinen Unterschied, weiterverhandeln zu können.	It makes no difference whatsoever for the Commission to be able to continue negotiations.
Aber ich poche hier auf die Rechte eines Parlaments, über etwas abzustimmen, was dann grundsätzlich in der Gesamtheit vorzuliegen hat.	But I am standing up for the rights of a parliament to take a vote on something which must in principle exist as a whole.
Wie wollen wir das draußen verantworten - wir kämpfen für mehr Rechte für das Parlament, sagen aber, daß wir nichts entscheiden wollen, sondern geben einen Blankoscheck?	How could we justify to the public the fact that we are campaigning for more rights for Parliament, although we are saying that we do not want to make any decisions, and instead want simply to give carte blanche ?
Genau das verstehe ich nicht.	It is precisely this which I do not understand.
Ich muß noch eines dazu sagen, und es ist ja die letzte Runde heute abend: Ich bin für ein Abkommen mit Mexiko, vollkommen klar, das trifft auf die ganze grüne Fraktion zu.	I must say one more thing on this matter; it is after all the last round of speeches this evening. Obviously I am in favour of an agreement with Mexico, and this applies to the entire Green Group.
Ich schätze die Kollegin de Lage sehr, und ich weiß auch ihre Arbeit zu schätzen.	I hold my colleague, Mrs Miranda de Lage, in high esteem and I also have the highest regard for her work.
Aber hier geht es mir um ein grundlegendes Problem, wie ein Parlament sich in einer Entscheidung verhält.	However, this problem of how a parliament makes a decision is of fundamental importance for me.
Das ist es und nichts anderes.	It is just about this and nothing else.
