Herr designierter Kommissionspräsident! Vor der neuen Kommission liegen einige große Aufgaben.	Mr President-designate of the Commission, the new Commission is faced with a number of big tasks.
Wir haben jetzt eine gemeinsame Währungspolitik, die von der Europäischen Zentralbank gestaltet wird.	We now have a joint policy on currency which is being managed by the European Central Bank.
Was wir noch brauchen, ist eine gemeinsame Wirtschaftspolitik.	What we now need is a common economic policy.
Dazu gehört eine konsequente Anwendung der Wettbewerbsregeln; dazu gehört eine konsequente Anwendung des Stabilitäts- und Wachstumspakts, dazu gehören gemeinsame Mindestregeln für die Steuern und dazu gehören auch einige grundlegende Prinzipien.	This should include consistent application of the rules on competition, including the Stability and Growth Pact. It should also include joint minimum regulations for taxation and a number of basic principles.
Ich bin davon überzeugt, daß diese gemeinsame Wirtschaftspolitik nur dann gelingen kann, wenn sie gestaltet wird nach den Grundsätzen einer sozialen Marktwirtschaft.	I am convinced that this common economic policy can only succeed if it is designed in accordance with the principles of a social market economy.
Da brauchen wir - und das, Herr Kommissionspräsident, ist ein weiterer Punkt, den Sie ganz besonders angesprochen haben - einige Projekte, die sichtbar sind für die Bürger.	What we need in this connection - and this, Mr President of the Commission, is a further point to which you referred quite specifically - is a number of projects which are visible to the citizens of Europe.
Zum ersten: Ich weiß, daß es hier Kritik gibt, aber die Sicherheit von Lebensmitteln ist ein grundlegendes Anliegen der Bürger, doch auch eines der Hemmnisse für das wirkliche Funktionieren des Gemeinsamen Marktes.	Firstly - and I know that there are criticisms about this - food safety is one of people' s basic concerns yet also one of the things which stops the Common Market from really working.
Ich möchte Sie persönlich ermutigen, Herr Kommissionspräsident, dieses Thema aufzugreifen, denn es scheint mir von grundlegender Wichtigkeit einmal für die Bürger, zum zweiten aber auch für das Funktionieren des gemeinsamen Marktes.	I should like personally to encourage you, Mr President of the Commission, to take up this theme, for it seems to me to be of fundamental importance, on the one hand for our citizens but, on the other hand too, for the proper functioning of the Common Market.
Zum zweiten die Überwachung des Luftraums: Amerika hat hier eine Behörde, was in einer Ihrer anfänglichen Reden auch angesprochen wurde.	Secondly: the supervision of air space. For this, America has one authority, to which you also referred in one of your initial speeches.
In Europa haben wir drei Behörden, die sich mit dieser Frage beschäftigen.	In Europe we have three authorities concerned with this issue.
Das ist unerträglich für die Luftverkehrsgesellschaften, und es ist gefährlich für die Bürger.	That is unacceptable to the airline companies and is dangerous for the citizens of Europe.
Dies scheint mir eine zweite große Priorität zu sein.	This seems to me to be a second big priority.
Drittes Thema: der weitere Abbau der Monopole.	Thirdly: the further dismantling of monopolies.
Bei den Kosten des Telefonierens, bei den Kosten für Strom zeigt sich jetzt zum ersten Mal, daß dieser Abbau von Monopolen ganz praktisch für die Bürger auch greifbare Vorteile bringt.	From the costs of telephone calls and of electricity, it appears now for the first time that dismantling monopolies is of practical value to our citizens and also entails tangible advantages.
Ich glaube, das sollte uns ermutigen, auf diesem Wege weiter zu gehen, auch in den Bereichen Post, Energie, Telekommunikation und Eisenbahnen, wo vergleichbare Verhältnisse herrschen.	I think this ought to encourage us to go further down this road, that is to say, in the fields of postal services, energy, telecommunications and railways where similar conditions prevail.
Der Abbau der Monopole ist meiner Meinung nach eine Politik zugunsten der Bürger der Europäischen Union.	In my opinion, dismantling monopolies is to the advantage of the citizens of the European Union.
