Frau Präsidentin, ich bedanke mich vielmals für die Toleranz und die Geduld!	Madam President, many thanks for your tolerance and patience!
Ein Kollege der Europäischen Volkspartei hat seine Fraktion als Freunde der Sicherheit bezeichnet, als gäbe es in diesem Hause Feinde der Sicherheit!	A fellow member of the European People' s Party described his Party as being friends of security, as if there were any enemies of security in this House!
Ich denke, das Problem besteht eher darin, daß manche nicht in gleichem Maße Freunde der Freiheit und des Rechts sind.	I think the problem is rather that many are not the friends of freedom and the law to the same extent.
Deshalb glaube ich auch, daß die dringlichste Aufgabe darin besteht, die Voraussetzungen für einen Raum der Freiheit, Sicherheit und des Rechts, nämlich eine Grundrechtscharta in Europa zu schaffen, weil es darauf ankommt, nicht nur sensible Staatsgewalt, Polizeigewalt zu zentralisieren, sondern auch die Rechte der Bürger zu europäisieren.	Therefore, I also believe that the most pressing task consists of achieving the prerequisites for an area of freedom, security and justice, specifically a Charter of Fundamental Rights in Europe, because the important thing is not only to centralise the sensitive application of State and police authority, but also to europeanise the rights of citizens.
Nun hat der Gipfel von Köln die Proklamation eines solchen europäischen Grundrechtskatalogs beschlossen, ein löbliches Vorhaben.	Now the Cologne Summit has decided upon the proclamation of just such a European list of fundamental rights, a laudable intention.
Aber wenn man ansieht, wie dieses Vorhaben geplant wird, dann kann man als Parlamentarier wohl nur schockiert sein.	But when one looks at the manner in which this has been planned, then one can only, as a Member of Parliament, be shocked.
Der Rat hat - aus welchen Gründen, ist mir unerfindlich - die gesamte Kompetenz über diesen Grundrechtskatalog an sich gezogen.	The Council has - for what reasons, I do not understand - assumed total responsibility for this list of fundamental rights.
Es gab keinen Dialog mit dem Europäischen Parlament.	There was no dialogue with the European Parliament.
Die Rolle des Europäischen Parlaments als Vertreter der europäischen Völker und somit originäre Instanz eines solchen Grundrechtskataloges, diese Rolle ist unakzeptabel.	This is unacceptable, given that the European Parliament has the role of representing the peoples of Europe and is thus the original authority for such a Charter of Fundamental Rights.
Von einer Gleichheit der legislativen Institutionen in diesem Prozeß kann keine Rede sein.	There can be no question of equivalence of legislative institutions in this process.
Die Einbeziehung der nationalen Parlamente erfolgt nur über einzelne Vertreter, also auch von einer Pluralität der politischen Strömungen kann in diesem Prozeß keine Rede sein.	The inclusion of national parliaments has involved only individual representatives, so there can be no question either of plurality of political tendencies in this process.
Was einem am meisten Sorge bereitet und einen am meisten bestürzt, ist wohl der Umfang des Auftrages.	What is most worrying and most alarming is the scope of the undertaking.
Frau Ratspräsidentin, ich glaube, eines sollten wir nicht tun: die zentralen Forderungen der Bürger nur scheinbar erfüllen!	Madam President-in-Office of the Council, I believe there is one thing we should not do and that is to fulfil the fundamental requirements of the citizens in appearance only.
Eine Proklamation bereits bestehender Rechte ist keine Grundrechtscharta, sondern politische Poesie!	A proclamation of already existing rights is no Charter of Fundamental Rights, but political versemongering!
