Frau Präsidentin, liebe Kolleginnen und Kollegen!	draftsman of the opinion of the Committee asked for an opinion, the Committee on Budgetary Control.
Ich kann gleich dort fortsetzen, wo mein Vorredner geendet hat.	Madam President, ladies and gentlemen, I am able to follow on from where the preceding speaker left off.
Wir geben dem Bericht des Kollegen Napolitano unsere uneingeschränkte Unterstützung.	We give our unqualified support to the report by our colleague Mr Napolitano.
Wir haben im Ausschuß für Haushaltskontrolle empfohlen, die durch OLAF nötig gewordenen Änderungen direkt in die Geschäftsordnung einzubauen.	We, on the Committee on Budgetary Control, have recommended that the changes that have become necessary as a result of OLAF should be incorporated directly into the Rules of Procedure.
Der Ausschuß für konstitutionelle Fragen schlägt einen einzigen Anker-Artikel in der Geschäftsordnung selbst und den vollen Wortlaut - wie im interinstitutionellen Abkommen vereinbart - als Anlage dazu vor.	The Committee on Constitutional Affairs has suggested that a single basic rule be incorporated into the actual Rules of Procedure and that the full wording - consistent with the interinstitutional agreement - be added as an appendix.
Das geht vollkommen in Ordnung.	That is perfectly acceptable.
Entscheidend ist, daß die Substanz unverändert geblieben ist.	It is crucial that the substance remains unchanged.
Die Substanz ist, wie schon erwähnt: Wir als Parlament geben ein klares Signal, daß wir nicht nur für andere Untersuchungen durch eine externe unabhängige Instanz verlangen und vorschreiben, sondern daß wir uns dem auch selbst unterwerfen wollen.	The key point, as has already been mentioned, is that we, as a Parliament, should give a clear signal that we are not just demanding or stipulating that others should be subject to investigations by an external, independent authority, but that we want to subject ourselves to this process too.
Ich wäre froh, wenn wir diesen Beschluß des Parlaments hier zusammen mit den Fragen zur Ernennung des neuen Direktors von OLAF hätten beraten können.	I would have liked us to be able to discuss this decision of Parliament' s together with the question of appointing the new director of OLAF.
Wir hatten die Anhörung der in die engere Wahl kommenden Kandidaten im Ausschuß für Haushaltskontrolle für vergangene Woche geplant.	We had planned to hold the hearing for shortlisted candidates last week, in the Committee on Budgetary Control.
Aber die Kommission hat zu spät die definitive Liste der Kandidaten erstellt.	The Commission, however, did not draw up the definitive list of candidates in time.
Von einigen wird zudem der Eindruck erweckt, als wollten wir uns ungebührlich in ein Ernennungsverfahren einmischen, das Sache der Kommission sei und bleiben müsse.	Some people, moreover, have the impression that we have sought to interfere improperly with an appointment procedure that is, and must remain, the responsibility of the Commission.
Dabei wird übersehen oder verschwiegen, daß es keinesfalls um ein normales Ernennungsverfahren geht, sondern um die Besetzung einer herausgehobenen Position mit weitreichenden Vollmachten und mit dem Recht, in allen Organen und Institutionen der Union administrative Untersuchungen durchzuführen.	Yet those who have this impression overlook or gloss over the fact that this is by no means a normal appointment procedure, rather it is a matter of filling a key post that has far-reaching powers and the right to conduct administrative investigations into every organisation and institution of the Union.
Die OLAF-Verordnung vom 25. Mai 1999 sieht ausdrücklich vor, daß die Kommission den Direktor erst nach Abstimmung mit Parlament und Rat ernennen kann.	The Regulation on OLAF of 25 May 1999 lays down specifically that the Commission can only appoint its director once Parliament and the Council have voted.
Es muß also Einvernehmen zwischen den drei Organen bestehen.	Therefore, there must be harmony between the three bodies.
Dieses Verfahren wurde gewählt, um die Unabhängigkeit des Direktors sicherzustellen.	This procedure was chosen to guarantee the director' s independence.
Ich hoffe, daß es in dieser Woche hier in Straßburg gelingen wird, das entstandene Durcheinander im Hinblick auf die Verfahren aufzulösen.	I hope that this week, here in Strasbourg, we will succeed in resolving the confusion over the procedure which has emerged.
Wir dürfen am Ende nicht als diejenigen dastehen, die eine Entscheidung verschleppen, nachdem wir in diesem Hause vor fast genau einem Jahr die Idee eines unabhängigen Betrugsbekämpfungsamtes mit überwältigender Mehrheit auf den Weg gebracht haben!	Ultimately, we must not be the ones to delay any decision of this kind when, almost exactly a year ago, the overwhelming majority of Members of this House gave their support to the idea of launching an independent anti-fraud office.
