Sehr geehrter Herr Präsident, sehr geehrte Kommissarin Schreyer!	Mr President, Commissioner Schreyer, we have just had a very interesting discussion.
Wir haben jetzt eine sehr interessante Diskussion geführt.	The Members have endeavoured to get to the heart of the issues.
Die Abgeordneten haben sich bemüht, die Themen auf den Punkt zu bringen. Dabei sollten wir nicht die Ziele in der Europäischen Union vergessen: Das Wichtigste ist die Beschäftigungswirksamkeit unserer Haushaltszeilen.	At the same time, we should not forget the goals of the European Union, the most important of which is to make our budget lines as effective as possible in terms of creating employment.
Mit welchen Haushaltszeilen können wir neue Beschäftigung in Europa erreichen?	Which budget lines can we use to create fresh employment opportunities in Europe?
Zusätzlich natürlich auch sehr interessant: Mit welchen Haushaltszeilen können wir neue Steuereinnahmen erschließen?	Another interesting question of course is which budget lines we can use to secure fresh taxation revenue.
Einnahmen sind ein sehr wichtiger Bereich, und diese Punkte sollten wir detailliert prüfen.	Revenue is a very important area and we should examine these issues in detail.
Auf der anderen Seite müssen wir schauen, welche Produkte, die wir derzeit in unserem großen Laden der Europäischen Union anbieten, wir eliminieren können.	On the other hand, we must take a look at which of the products currently on offer in the EU superstore we could take off the shelves.
Welche Produkte können wir auf die nationale Ebene zurückgeben?	Which products could be returned to the national level?
Es wäre interessant, ein Forschungsprogramm zu starten, welche Tätigkeiten derzeit auf europäischer Ebene erledigt werden, die eigentlich viel leichter, effizienter und besser auf nationaler Ebene wahrgenommen werden könnten.	It would be interesting to set up a research programme into which activities are currently being performed at European level that could in fact be dealt with much more easily, more efficiently and better at national level.
Dann würden wir uns freispielen, dann hätten wir Chancen, uns um die neuen Projekte zu kümmern, um neue Ziele und um sämtliche Wünsche, die wir heute hier geäußert haben.	This would free up our time and give us the opportunity to concern ourselves with the new projects, new goals and all the aspirations that we have expressed here today.
Mir liegen zwei Haushaltszeilen ganz besonders am Herzen.	There are two budget lines that are particularly dear to my heart.
Die eine ist B5-512, die Förderung der kleinen und mittleren Unternehmen, die Förderung der Familienbetriebe.	One is B5-512, financial support for small and medium-sized enterprises, support for family businesses.
Für 66 % der Beschäftigung kommen die KMU auf.	The SMEs account for 66% of jobs.
Über 55% des Umsatzes in der Europäischen Gemeinschaft entfallen auf diese Betriebe.	In excess of 55% of turnover in the European Community is generated by these enterprises.
Wir müssen uns auf spezifische Programme konzentrieren, auf die Startphase, auf die Betriebsübergabe, auf die Euro-Infocentres; dort ist Neubeschäftigung, dort sind neue Steuereinnahmen zu erwarten.	We must concentrate our energies on specific programmes, start-up support, transfer of business know-how, and on the Euro-infocentres, for it is these that will give rise to fresh employment opportunities and fresh sources of taxation revenue.
Die zweite Haushaltszeile B5-234 betrifft die Förderung des europäischen digitalen Inhalts für globale Netze.	The second budget line B5-234 concerns financial support for the European digital capacity for global networks.
Hier hat uns Kommissar Liikanen gesagt, daß bis zum Jahr 2002 ungefähr 1,2 Millionen zusätzliche Arbeitsplätze zur Verfügung stehen, wobei wir aber nicht die notwendige Qualität der Mitarbeiter gewährleisten können.	Commissioner Liikanen advised this House that there will be approximately 1.2 million additional jobs by the year 2002, but we will not be in a position to guarantee the necessary quality of staff.
Wir müssen die Leute schulen, wir müssen schauen, daß dieser Arbeitsmarkt von 1,2 Millionen Arbeitsplätzen in Zukunft genutzt werden kann, daß wir Programme entwickeln, mit denen wir die Leute in Arbeit bringen.	We must train people and ensure that this labour market of 1.2 million jobs can be exploited in future, and that we develop programmes that will enable us to get people into work.
Das verschafft uns beim Internet, beim E-Commerce, bei den vielen Bereichen, die völlig neue Chancen für Europa bieten, die richtige Position, und daran sollten wir unbedingt arbeiten.	This will put us on the right footing in terms of the Internet, e-commerce and the many sectors which will bring brand new opportunities to Europe, and there is no question but that we should work on this.
Auch solche Programme wie BEST sind für uns unbedingt erforderlich.	In addition, programmes such as BEST are of crucial importance to us.
Für diese Betriebe - wir haben 18 Millionen KMU in Europa, 50 % davon haben keine Beschäftigten - müssen wir das juristische Umfeld stark vereinfachen, so daß diese sich auf ihre Hauptbedürfnisse konzentrieren können, nämlich Kundenbedürfnisse zu befriedigen, die richtigen Produkte und Dienstleistungen anzubieten.	When it comes to enterprises of this kind - there are 18 million SMEs in Europe, 50% of which have no employees - we must make the legal requirements pertaining to them a great deal simpler so that they can concentrate on their main tasks of satisfying customer requirements and offering the right products and services.
Das schafft Arbeitsplätze, das schafft neue Möglichkeiten!	That is what creates jobs and new opportunities.
Deshalb sollten wir schauen, daß wir auch die Innovation in den Schulen vorantreiben, daß wir in den Schulen - von der Grundschule bis zur Universität - die Initiative, die Innovation stärken, so daß hier eine völlig neue Impulsgebung stattfindet und in diesem Bereich auch neue Möglichkeiten entstehen.	That is why we should also look to encourage innovation in schools and to reinforce initiative and innovation in schools - from primary school to university level - so as to give this sector completely new impetus and also enable new opportunities to develop there.
Wir müssen uns auseinandersetzen mit dem Zulieferwesen.	We must reach agreement with the supply sector.
Wie können wir die kleinen an die großen Konzerne anbinden, daß sie von den großen Konzernen lernen können, daß wir ihnen helfen, den Euro einzuführen, daß wir die Betriebsübergabe fördern, daß wir uns mit dem Jahr 2000 auseinandersetzen?	How can we foster links between small and large companies so that the former can learn from the latter, so that we can help them with the introduction of the euro, so that we can promote transfer of business know-how, and so that we can tackle any year 2000-related problems?
Zum Schluß eine riesengroße Herausforderung: die Erweiterung.	To close, I would like to mention the enormous challenge we have before us, that of enlargement.
Ich glaube, daß die Erweiterung auch für die kleinen Betriebe eine Riesenchance darstellt.	I believe that enlargement also represents a huge opportunity for small companies.
Aber scheuen wir uns nicht davor, ihnen die notwendige Hilfe angedeihen zu lassen.	But we should not shrink from providing them with the support they need.
Es sind nur mehr wenige Jahre.	There are only a few more years to go.
Viele sind schon drüben, viele interessieren sich, und ich glaube, die Arbeit an der Basis ist interessant und birgt neue Chancen.	Many are already involved over there, many are interested, and I believe that the work being done at grass roots level is interesting and affords new opportunities.
Hier sehen wir im Europäischen Parlament die Herausforderung, uns zu engagieren, uns einzusetzen, und hier danke ich schon heute für Ihre Unterstützung, Frau Kommissarin.	We in the European Parliament recognise the challenge to give our commitment and invest our energies here, and I would like to take the opportunity today to thank you for your support in this, Commissioner.
