Herr Präsident, meine Damen und Herren Kollegen, vielen Dank!	Mr President, thank you very much.
Unter der Federführung des Kollegen Chichester ist zu diesem Thema ein Bericht ins Parlament gelangt, zu dem ich ihn beglückwünsche.	Parliament has taken receipt of a report on this subject produced under the tutelage of Mr Chichester and I would like to congratulate him on it.
Es ist ein guter Bericht.	It is a good report.
Die Europäische Union fördert die Umweltpolitik im Bereich der Energie auch durch Programme, die die Effizienz von Anlagen fördern.	Another way in which the European Union seeks to further environmental policy in the field of energy is by setting up programmes promoting the efficiency of installations.
Aber ich will heute noch einmal deutlich machen, daß die wichtigste umweltpolitische Maßnahme die war, daß wir in den Richtlinien Strom und Gas 1996 und 1998 die Monopole abgeschafft und den Wettbewerb eingeführt haben.	But I want to again make clear today that the most important environmental policy measure we have taken to date was when we abolished the monopolies and introduced competition in the directives on gas and electricity of 1996 and 1998.
Denn erst in dieser Landschaft müssen die früheren Monopole aufhören, alle unwirtschaftlichen Anlagen weiter arbeiten zu lassen und das an den Verbraucher über die Kosten weiterzureichen.	For it is only under such circumstances that the former monopolies are forced to shut down all their unprofitable installations and pass the consequences of this onto the consumer in terms of costs.
Jetzt erst haben sie einen Anreiz, ihre Anlagen so effizient wie möglich zu betreiben.	Only now do they have an incentive to operate their installations as efficiently as possible.
Ich will auch auf einen besonderen Gesichtspunkt aufmerksam machen.	I also want to draw your attention to one aspect in particular.
Erst in einer Wettbewerbslandschaft kann man zu unterschiedlichen Tarifgestaltungen kommen, wie wir das alle aus dem Telekommunikationssektor kennen.	It is only when a sector opens up to competition that variable rates can be set, something we are all familiar with in the case of the telecommunications sector.
Die unterschiedlichen Tarife werden dazu führen, daß der Verbrauch über die 24 Stunden eines Tages entzerrt wird, und indem der Verbrauch entzerrt wird, wird die Anlagekapazität besser ausgenutzt, und es werden weniger Anlagen erforderlich sein.	Variable rates will lead to consumption over a 24 hour period being corrected and as such better use will be made of the installation capacity and fewer installations will be required.
Mit anderen Worten, es wird weniger Energie produziert werden müssen, und das ist der bedeutendste Beitrag zur Umweltpolitik, der aus diesen Richtlinien hervorgeht.	In other words, it will not be necessary to produce as much energy and that is the most significant contribution to environmental policy to come out of these directives.
Deswegen übrigens auch die Bemerkung, daß die vorgelegten Überlegungen der früheren Kommission zu der sogenannten integrierten Ressourcenplanung - ein ganz schlimmes Wort - aus diesem Grunde tot sein werden, weil es keiner Regelung bedarf.	Hence the observation, incidentally, that the deliberations put forward by the previous Commission on the so-called integrated resources planning - an expression I really dislike - will die a death for this very reason, because there is no need for regulation.
Denn die Energieversorger und -verteiler werden aus eigenem Antrieb bemüht sein, die Nachfrage entsprechend zu steuern.	For the energy suppliers and distributors will endeavour of their own accord to manage demand appropriately.
Wir haben als EVP-Fraktion bei der Verabschiedung der Richtlinien betont, daß uns noch die Harmonisierung der Umweltpolitik fehlt.	When it came to adopting the directives, the PPE Group stressed that as far as we were concerned there was still a lack of harmonisation of environmental policies.
Deswegen heute dieser Bericht, und wir warten auf weitere Initiativen der Kommission.	That is why we have this report before us today, and we await further initiatives from the Commission.
Ich will auch daran erinnern, daß diese Richtlinien technische Vorrangregelungen vorsehen für die Einspeisung von Strom aus erneuerbaren Energien und Kraftwärmekopplungen.	I would also like to remind you that these directives provide for priority regulations with respect to the supply of electricity from renewable energies and combined heat and power systems.
Das sind alles deutliche Vorzüge für die Umwelt.	These will all be of obvious benefit to the environment.
Was aber noch fehlt und was die alte Kommission nicht geschafft hat und was, so hoffen wir, endlich geschafft wird, ist eine europäische Richtlinie, in der nicht nur die Einspeisung von Strom aus erneuerbarer Energie technisch geregelt wird, sondern in der auch in Übereinstimmung mit dem europäischen Wettbewerbsrecht die Modelle klargelegt werden, wie ein so produzierter Strom gemeinschaftsverträglich gefördert werden kann.	What we still lack though and what the previous Commission failed to achieve, and what we hope will be achieved in the end, is a European directive which does not just provide for the regulation in technical terms of the supply of electricity from renewable energy, but which also clearly sets out, in accordance with European competition law, models that show how electricity produced by this method can be promoted in a manner which meets Community requirements.
Dort drüben sitzt der Kollege Linkohr.	I see Mr Linkohr sitting just across the way.
Wir haben seinerzeit seinem Vorschlag im Detail nicht zustimmen können, aber wir sind uns über die Marschrichtung einig, daß hier europäisches Recht gesetzt werden muß.	We were unable to support the proposal he put forward at the time in every last detail, but we are agreed on the line of approach, i.e. that European legislation must be drawn up in this area.
In diesem Zusammenhang will ich auch sagen, daß wir im Ausschuß in Kürze ja sehr genau mit der Kommission überlegen werden, welch weiterer Regelungsbedarf im Strom- und Gasbereich besteht, denn wir haben entgegen allen Beteuerungen immer noch keinen europäischen Markt, wir haben weitgehend noch 15 Einzelmärkte.	I would also like to say in this context that we are soon to enter into very careful deliberations with the Commission, in Committee, on what else needs to be done in regulatory terms in the field of gas and electricity, for contrary to all declarations, we still do not have a European market, to a large extent we still have 15 individual markets.
Das muß aufhören!	This situation must change!
Ich möchte eine letzte ganz persönliche Bemerkung machen.	Finally, I would like to make an observation of a rather personal nature.
Wer glaubt, er könne Umweltschutz mit der CO2-Steuer erreichen, der findet bei mir jedenfalls keinen Glauben.	Whosoever believes that environmental protection can be achieved by introducing a CO2-tax will find no credence with me at any rate.
Ich zitiere hier den Generalsekretär der IAEO, der neulich noch vor uns allen doziert hat, daß ihm kein Modell bekannt sei, das mit einer an dem Schadstoffausstoß anknüpfenden Steuer wirklich dazu beiträgt, daß weniger Energie verbraucht wird und weniger Schadstoffe ausgestoßen werden.	This is a quote from the Secretary-General of the IAEO who recently held forth before us all, stating that he knew of no examples to support the contention that linking taxation with the emission of harmful substances really does make a difference in terms of less energy being used and achieving reductions in the emission of harmful substances.
