Herr Präsident! Der Umstellungsplan von 1995 hat sich bewährt.	Mr President, the 1995 changeover plan has proved to be worthwhile.
Zu Recht stellt die Berichterstatterin die sorgfältige Vorbereitung auf die Einführung des Euro heraus, und wir müssen sehen, daß der Euro tatsächlich auch das Vertrauen der Bürgerinnen und Bürger bekommt und nicht nur der Märkte, denn dort ist er inzwischen etabliert.	The rapporteur rightly emphasises the careful preparations leading up to the introduction of the euro, and we must ensure that the euro does indeed enjoy the confidence of the citizens and not just that of the markets, where it is now established.
Von daher ist das erste Jahr der Einführung des Euro, das Leben in der Währungsunion verbunden mit der Nichtwahrnehmung der Bürgerinnen und Bürger, der Verbraucherinnen und Verbraucher dieses Umstandes.	The first year of the euro' s introduction and life with monetary union is associated, then, with a lack of awareness of the euro on the part of the citizens, that is to say the consumers.
Nicht umsonst werden nur 1 % der Überweisungen und nur 4 % bei Kreditkartenumsätzen inzwischen in Euro ausgeführt.	It is not without reason that as yet, only 1% of transfers and 4% of credit card transactions are performed in euros.
Das weist darauf hin, daß wir wirklich Informationskampagnen brauchen.	This would suggest that we really do need information campaigns.
Das war nicht nur notwendig in den Jahren vor dem Beginn der Währungsunion, das muß auch während der Dauer der Währungsunion laufen, und hier können wir die Aufgabe nicht allein der Europäischen Zentralbank überlassen.	Not only did we need to have these campaigns in the years before monetary union started, we also need to pursue them now that it is in force, and this is not a task that we should just leave to the European Central Bank.
Wir müssen auch als Europäische Kommission, als Europäisches Parlament, als Regierung der Mitgliedstaaten hier eine neue Initiative starten, damit die politischen Diskussionen um den Wert des Euro nicht dazu führen, daß die Bürgerinnen und Bürger auf einmal meinen, sie leben in der Währungsunion, diese hat ihnen aber keinen europäischen Mehrwert gebracht, sondern tatsächlich leben sie im Zeitalter einer neuen Währungsreform.	We, too, in our capacity as European Commission, European Parliament, and governments of the Member States, must launch a new initiative in this respect, so that political discussions on the value of the euro do not cause the citizens to suddenly start thinking that, although they may inhabit a monetary union, this has lent no added value to Europe. Rather, they must be made aware of the fact that they are living in an age of new monetary reform.
Diese falsche Annahme, die immer noch verbreitet ist, weil sich das Kursverhältnis zwischen dem Euro, dem Dollar und dem Yen bedauerlicherweise anders entwickelt hat, als es sich noch am 4. Januar abzuzeichnen schien, darf nicht dazu führen, daß irrige Vorstellungen über den Wert des Euro herrschen.	This false assumption, which is still very much prevalent because the exchange rate between the euro, the dollar and the yen has, I regret to say, developed rather differently than appeared would be the case on 4 January, must not, however, lead to a situation in which erroneous ideas as to the value of the euro hold sway.
Der innere Wert des Geldes ist maßgebend, und hier haben wir historisch in der Euro 11-Zone Werte zu verzeichnen, die wirklich vertrauensbildend sind.	The internal value of the currency is decisive and the fact that we can record values for the euro 11-zone that truly inspire confidence is of historic importance.
Es ist gut, daß in dem monetären Dialog des Europäischen Parlaments mit der Europäischen Zentralbank deutlich wird, immer wieder transparent wird, wie wichtig die Preisstabilität für diese unabhängige, monetäre Autorität ist, und daß sie darauf achtet, daß dieses Ziel auch bürgernah durchgesetzt wird.	It is a good thing that it is becoming clear, and is made transparent time and time again in the monetary dialogue between the European Parliament and the European Central Bank, how important price stability is for this independent, monetary authority; and it is a good thing that the ECB should see that this goal is accomplished in a manner accessible to ordinary citizens.
Ich meine, daß es falsch wäre, jetzt hier in Panik auszubrechen wegen der Kursentwicklung.	I believe it would be wrong to break out in a panic now, here in this Chamber, on account of exchange rate trends.
Ich denke, daß die Kurse auch ausgereizt sind.	I think the exchange rates are exhausted in any case.
Wichtig ist aber in dieser Situation, die Euroentwicklung zu stützen durch ein Mehr an wirtschaftspolitischer Koordinierung in der Europäischen Union.	The important thing to do in these circumstances, though, is to support the development of the euro by having more coordination of economic policy within the European Union.
Die Geldpolitik wird nicht in der Lage sein, die Glaubwürdigkeit von europäischer Integration zugunsten von Wachstum, Beschäftigung und auch Investition zu verstärken, wenn sich die Mitgliedstaaten der Europäischen Union nicht gleichzeitig mit der Vereinheitlichung und Zentralisierung der Geldpolitik stärker auf Signale gegen Steuerdumping, gegen Sozialdumping und für mehr Beschäftigung einigen.	Monetary policy will not be in a position to enhance the credibility of European integration for the benefit of growth, employment and also investment, if the Member States of the European Union do not, coincidentally with the harmonisation and centralisation of monetary policy, join forces more resolutely in giving out signals against tax dumping and social dumping, and in favour of increased employment.
