Frau Präsidentin, es ist so, wie die Kommission in ihrer Begründung sagt.	Madam President, it is as the Commission says in its explanatory statement.
Dieser Vorschlag über die Gemeinsame Marktorganisation für Erzeugnisse der Fischerei und der Aquakultur ist von zentraler Bedeutung für die gemeinsame Fischereipolitik in der Europäischen Union.	This proposal on the common organisation of the markets in fisheries and aquaculture products is of central importance for the common fisheries policy in the European Union.
Orientiert man sich an den allgemeinen Zielen in der Begründung des Vorschlags, so können diese voll und ganz unterstützt werden.	If we take a look at the general aims in the explanatory statement of the proposal, then we will see that we can give these our full and unequivocal support.
Verantwortungsvolle Bestandsbewirtschaftung, Verbesserung der Wettbewerbsfähigkeit des Sektors, Liberalisierung des Marktes usw. Alle diese Aussagen finden meine volle Zustimmung.	Responsible stock management, improving the competitiveness of the sector, liberalisation of the market etc. I am completely in favour of all these statements.
Bedenklich ist aber, mit welchen Mitteln die Kommission und vor allem die Berichterstatterin versuchen, diese Grundsätze einzuhalten.	What does give cause for concern though is the question as to which methods the Commission, and in particular the rapporteur, intend to employ in their efforts to maintain these principles.
Nur zu drei Punkten möchte ich Stellung nehmen.	I would like to comment just on three points.
Erstens: Ein zukünftiges Problem sehe ich darin, im Vergleich zu den bisherigen Regelungen umfangreiche direkte Beihilfen für den Fischereisektor zu etablieren.	Firstly, I consider that, in future, one issue to be addressed will be that of establishing extensive, direct grants for the fisheries sector, as previous regulations failed to do.
Nun hat ja niemand etwas gegen Beihilfen.	Now, of course, no one has anything against grants.
Aber die Frage muß ja nun mal gestattet sein, ob das Ziel der Stärkung der Wettbewerbsfähigkeit des Sektors hiermit langfristig erreicht wird.	But still the question must be asked as to whether this approach will, in the long term, achieve the goal of boosting the competitiveness of the sector.
Auch bei einer vorgeschlagenen zeitlichen Befristung gibt es immer Mitnahmeeffekte, und somit ist auch eine dauerhafte Beibehaltung nicht auszuschließen.	Even when a deadline is proposed, this always has certain consequences and so we should not rule out maintaining this state of affairs indefinitely.
Meiner Meinung nach wäre eine geeignetere Möglichkeit im Rahmen der Strukturfondspolitik gegeben.	In my view, we could look to the structural funds policy for a more suitable option.
Zweitens: Die Bestrebungen zur Anpassung der Außenhandelsregelung finden meine volle Unterstützung.	Secondly, I wholeheartedly endorse the efforts being made to adapt the regime governing trade with third countries.
Die Frage ist hier nur, ob sie auch ausreichend sind.	The only question in this respect is whether they actually go far enough.
Die Realität ist doch die, daß wir in der EU in hohem Maße importabhängig sind.	After all, the fact of the matter is that we in the EU are highly dependent on imports.
Die Gewährung von Zollaussetzungen bzw. -reduzierungen ist zum Teil auch eine Überlebensfrage für die verarbeitende Fischindustrie.	To a certain extent, the fish processing industry is dependent on tariff reduction and suspension arrangements for its survival.
Drittens: Ich kann der Berichterstatterin nicht folgen, wenn sie die Aquakulturerzeugnisse in die Interventionsregelung einbeziehen will.	Thirdly, I am unable to support the rapporteur in her desire to include aquaculture products in the intervention regime.
Trotz aller Bemühungen der Berichterstatterin, die wie immer eine umfangreiche Arbeit geleistet hat, um den Kommissionsvorschlag zu verbessern - und das erkenne ich hoch an -, kann ich ihre Schlußfolgerungen nur zum Teil mittragen.	Notwithstanding all the efforts made on the part of the rapporteur, who has, as always, produced a thorough piece of work in order to improve the Commission' s proposal - and I have a great deal of respect for that - I am only able to lend my support to some of her conclusions.
