Herr Präsident, Frau Hulthén hat schon viel gesagt.	Mr President, Mrs Hulthén has already said a great deal.
Ich will nicht alles wiederholen.	I do not wish to repeat it all.
Nicht betont hat sie, daß der vorliegende Gemeinsame Standpunkt wohl das Maximum dessen ist, was zur Zeit möglich ist.	She did not emphasise the fact that the present common position probably represents the maximum which is possible at the present time.
Ich weiß von der österreichischen Präsidentschaft, daß man gekämpft hat bis zuletzt, um hier wirklich einen Schutz unserer Ozonschicht zu erreichen.	I know from the Austrian Presidency that people fought to the bitter end to ensure that the ozone layer was properly protected.
Frau Hulthén, Sie wissen, wie sehr ich Sie gebeten habe, auf Abänderungsanträge zu verzichten, um rasch den Gemeinsamen Standpunkt wirksam werden zu lassen.	Mrs Hulthén, you know how strongly I have urged you to withdraw amendments so as to allow the common position to take effect quickly.
Ich habe Ihnen auch gesagt, es werden viele Abänderungsanträge kommen, die nicht darauf abzielen, so wie Ihre Abänderungsanträge noch rascher und schneller vorauszugehen, sondern sogar einen Weg zurück zu finden.	I also said to you that amendments would be tabled which did not seek - as your amendments do - to move forward even more rapidly and quickly, but even to find a way back.
Ich habe als Österreicherin überhaupt kein Problem, rascher und schneller voranzugehen.	As an Austrian, I have no problem at all with moving forward more rapidly and quickly.
Aber wir müssen lernen, daß auch andere Staaten, die nicht so weit sind wie die nordischen Staaten, wie Österreich, wie Deutschland, daß wir auch denen die Chance geben müssen, mit uns gemeinsam hier weiterzugehen.	But we have to learn that there are other countries which have not come as far as the Nordic countries, Austria and Germany and that we also have to give them an opportunity to move forward together with us on this.
Es tut mir leid, daß Sie das nicht getan haben, weil natürlich jetzt etwas in Bewegung gekommen ist, was uns vielleicht gar nicht gefällt.	I am sorry that you did not do this because, of course, moves are now afoot which we perhaps do not like at all.
Die Europäische Union war immer Vorreiter bei der Einstellung der Produktion und Verwendung von die Ozonschicht schädigenden Stoffen, und das Parlament galt als das umweltpolitische Gewissen dieser Europäischen Union.	The European Union has always taken the lead on phasing out the production and use of ozone-depleting substances, and in terms of environment policy Parliament has been the European Union's conscience.
Nur so haben wir die Möglichkeit, bei internationalen Konferenzen Druck auf die anderen Staaten auszuüben, ihnen zu zeigen, was geht, was möglich ist, was man der Industrie zumuten kann, und die Industrie in Europa hat vielfach umgestellt.	This is the only way in which we can exert pressure on other States in international conferences; to show them what works, what is possible and what demands can be placed on industry - and industry in Europe has in many cases switched to new technologies.
Erlauben Sie mir, auf ein kleines Beispiel einzugehen.	With your permission I will examine a small example in more detail.
Es ist der Abänderungsantrag Nr. 34. Halone sind sehr gefährlich.	It is Amendment No 34. Halons are very dangerous.
HFCKW sind lange nicht so gefährlich, was den Abbau der Ozonschicht betrifft.	HCFCs are not as dangerous by far in terms of ozone-layer depletion.
Aber trotzdem wäre es doch ein Wahnsinn, einen gefährlichen Stoff durch einen weniger gefährlichen zu ersetzen.	Nevertheless, surely it would be ludicrous to replace a dangerous substance with a less dangerous one.
Wir brauchen diesen weniger gefährlichen Stoff ja nur in ausreichendem Maß zu produzieren.	We only need to produce this less dangerous substance in sufficient quantities and we have the same potential for causing damage.
Dann haben wir das gleiche Schädigungspotential.	Do you not finally see that this is the wrong approach?
Begreifen wir doch endlich, daß das ein falscher Weg ist!	You cannot replace halons in fire protection systems with HCFCs!
Man kann in Brandschutzeinrichtungen Halone nicht durch HFCKW ersetzen! Es gibt mehrere Ersatzstoffe in Erdgasen, Stickstoffargon, Inergen.	There are several alternative substances available in the form of natural gases, such as nitrous argon and inergen.
Österreich besitzt eine sehr, sehr wertvolle Bibliothek, die österreichische Nationalbibliothek.	Austria has a very, very valuable library, the Austrian National Library.
Wir haben dort eine solche Brandschutzeinrichtung, die auf all diese gefährlichen Stoffe verzichtet.	We have a fire protection system of this kind there which manages without any of these dangerous substances.
Ich kann nur hoffen, daß keiner der gestellten Abänderungsanträge die 314 Stimmen bekommt.	I can only hope that none of the amendments put forward receives the 314 votes.
Denn wenn wir es ernst meinen, wenn wir einen raschen Schritt nach vorne machen wollen, dann sollte der Gemeinsame Standpunkt ganz rasch zum Tragen kommen.	Because if we are serious about this, if we want to take a quick step forward, then the common position needs to bear fruit very soon.
Sehen Sie, ob FCKW, HFCKW oder Halone, die, die heute emittiert werden, richten ihre Zerstörung in zwanzig bis dreißig Jahren oben an.	You see, whether it is CFCs, HCFCs or halons, today's emissions will do their damage up there in twenty or thirty years' time.
Wir alle oder viele oder die meisten von uns werden in dreißig Jahren schon tot sein.	In thirty years all of us - or many or most of us - will already be dead.
Aber die Zerstörung, die wir heute und hier und am Mittwoch bei der Abstimmung mitverantworten werden, die ist dann wohl auch unsere Schuld.	But the destruction, for which we share the responsibility here today and will do at the vote on Wednesday, will also be our fault.
