Herr Präsident!	Mr President.
Als ich am vergangenen Wochenende das Schlußdokument studiert habe, war ich zunächst von seinem Aufbau überrascht.	What struck me first as I studied the final document last weekend was its order of priority.
Ich verstehe schon, daß man im Sog des von der Kommission eingeschlagenen hohen Tempos der neuen Beitrittsstrategie der Erweiterung der Union Priorität einräumt.	I understand perfectly well that the enlargement of the Union must be given priority in the wake of the upbeat tempo adopted by the Commission for the new accession strategy.
Ich hätte es aber auch in einem Erweiterungsgipfel für klüger gehalten, den Komplex der Regierungskonferenz voranzustellen und damit zu unterstreichen, daß ohne Lösung der offenen und institutionellen Fragen auch nicht die kleinste Erweiterung funktionieren kann.	However, I would have considered it wiser for an enlargement Summit to give precedence to the matters facing the intergovernmental conference, thereby emphasising that even the tiniest enlargement will not work unless outstanding institutional questions are solved.
Mit Genugtuung habe ich hingegen zur Kenntnis genommen, daß man in Helsinki sowohl der Verlockung als auch den intensiven Einflüssen von Kommission und Parlament widerstanden und die Agenda der Regierungskonferenz im wesentlichen auf die berühmten left overs von Amsterdam konzentriert hat.	However, I was pleased to see that Helsinki resisted both the temptation and the intensive lobbying of the Commission and Parliament and basically concentrated the agenda of the intergovernmental conference on the famous Amsterdam leftovers.
Damit sollte nämlich sichergestellt sein, daß andere Themen erst dann behandelt werden, wenn jene unter Dach und Fach sind.	This should ensure that other topics will not be dealt with until these have been wrapped up.
Die Nachbesserungen von Amsterdam im institutionellen Bereich betreffen nicht nur grundlegende Fragen, sie werden auch ganz große Anstrengungen erfordern.	Improvements on Amsterdam in the institutional area not only concern fundamental matters, they also call for tremendous effort.
Ob die Entscheidung betreffend die Türkei der Union und der Türkei zum Nutzen und Frommen dient, das wird erst die Geschichte zeigen.	Whether or not the decision on Turkey was for the greater good of the Union and Turkey, only time will tell.
Wir haben ganz erhebliche Bedenken.	We very much doubt it.
Äußerst positiv hingegen kann man die Fortschritte in der GASP bewerten, wenngleich auch dort einige wesentliche Fragen, und zwar auch für Österreich bedeutende Fragen, unbeantwortet geblieben sind.	By contrast, the progress made with the CFSP was extremely positive, even if it failed to answer a number of fundamental questions, including some of significance to Austria.
Wie wichtig der Fortschritt auf diesem Gebiet ist, zeigt der Ist-Zustand.	The current situation shows how vital progress is in this area.
Eine Union ballt zwar die Faust in der Hosentasche, in Wahrheit aber steht sie den Ereignissen in Tschetschenien gelähmt und hilflos gegenüber.	The Union may well be seething inwardly, but in truth it stands paralysed and helpless in the face of events in Chechnya.
Hinsichtlich der Beschäftigungspolitik erwarte ich mir immer noch mehr von der in Aussicht gestellten wirtschaftlichen Steigerung, dem Aufschwung als von den Aktionsplänen auf Papier.	As far as employment policy is concerned, I expect more from the promised economic recovery, from the upswing, than from the action plans on paper.
Alles in allem aber hat Helsinki ein interessantes Ergebnis erzielt!	But, all in all, Helsinki achieved an interesting result!
