Herr Präsident, Herr Kommissar! Ich möchte mich auf drei Punkte beschränken.	Mr President, Commissioner, I should like to confine myself to three points.
Es gäbe viel dazu zu sagen, aber die Kollegen haben zu diesem Thema der Buchpreisbindung schon sehr viel beigetragen.	There is much which needs to be said, but my colleagues have already contributed a great deal to the debate on fixed book prices.
Für mich ist der erste Punkt, daß man die Wichtigkeit des Fachbuchhandels unterstreicht, daß wir auf Qualität setzen und nicht auf Quantität, daß wir die fachliche Betreuung, das Spezialangebot der Literatur, was die Wissenschaften und Fachbücher anbelangt, und auch individuelle Bedienung und Beratung sehr notwendig brauchen.	As far as I am concerned, the first point is that we need to stress the importance of the specialist book trade, we need to build on quality, not quantity, we are in immediate need of a specialist trade, a supply of specialist literature, as far as the sciences and technical books are concerned, and of personal service and advice.
Ich glaube auch, daß es im Interesse der Förderung der KMU liegt, deren Erhaltung ja ein sehr wichtiger Faktor in der Europäischen Union ist, und das wird hier mit dem Fachbuchhandel sehr gut und sehr demonstrativ praktiziert.	I also believe that it is in the interests of the promotion of SMEs, the preservation of which is an important factor in the European Union, and which is practised in the case of the specialist book trade in a very positive and demonstrative manner.
Als zweites ist mir sehr wichtig, auf den grenzüberschreitenden Sprachraum hinzuweisen.	Secondly, I think it is very important to refer to the cross-border language area.
Wir sprechen immer von der Vielfalt der europäischen Kultur, von der Vielfalt der Sprachen, die zusammenwachsen, jedoch gleichzeitig ihre eigene Identität bewahren soll.	We are always talking about the diversity of European culture and about the diversity of languages, which are growing together but which still need to retain their own identity.
Daher ist es unerläßlich, diese Bücher auch über die Grenzen hinweg problemlos vertreiben zu können.	It is therefore imperative to be able to sell these books easily across borders.
Der allerwichtigste Punkt ist mir der Kulturauftrag des Buches und die Verpflichtung der Gesellschaft gegenüber der Literatur und der Kunst, und gerade in einem Zeitalter der neuen Medien muß das Buch besonders gefördert und unterstützt werden.	The most important point for me is the cultural aspect of books and society' s obligation towards literature and art; it is precisely now, in an era of new media, that books need to be specially promoted and supported.
Kunst und Kultur sind, wie wir wissen, ein sehr bedeutender Wirtschaftsfaktor, so auch das Buch.	Art and culture are, as we know, a very important economic factor and so therefore are books.
Wenn wir die Drucker, die Verlage, die Übersetzer, den Handel und vieles mehr betrachten, dann wissen wir, wie wichtig der Buchhandel, wie wichtig die Kunst auch für die Beschäftigung ist.	When we look at printers, publishers, translators, the trade and much more besides, then we know how important the book trade is, how important art is, including for employment.
Das darf aber nicht heißen, daß wir Kunst und Kultur als einen reinen Wirtschaftsfaktor betrachten.	That should not mean, however, that we regard art and culture as purely economic factors.
Kunst und Kultur bedürfen gesellschaftlicher Unterstützung.	Art and culture need social support.
Sie sind eine Notwendigkeit, wir haben eine Verantwortung ihnen gegenüber, und wir können sie nicht in jeder Hinsicht nach den normalen Wettbewerbsregeln behandeln.	They are a necessity, we have a responsibility towards them and we cannot deal with them in that respect under the normal rules of competition.
Ich möchte Sie daher auffordern, Herr Kommissar, die Interessen der Großunternehmen zum Vorteil der Kultur, der kulturellen Vielfalt, aber auch des Fachhandels hintanzustellen und Ihre Entscheidungen im Falle Libro nach den Grundsätzen des französischen Rechts zu treffen und dem deutschen und österreichischen Buchhandel ausreichend Zeit einzuräumen, um die Buchpreisbindung diesen Grundsätzen anpassen zu können.	I should therefore like to urge you, Commissioner, to put the interests of large undertakings after culture, cultural diversity and the specialist trade. Make your decision in the case of books in accordance with the principles of French law and allow the German and Austrian book trade sufficient time to adapt fixed book prices to these principles.
Ich glaube, daß damit ein sehr wichtiger kultureller Auftrag erfüllt wird, bei dem die Wirtschaft vielleicht nur vordergründig das Nachsehen hat.	I believe that this will fulfil a very important cultural brief, whereby the economy is perhaps only left standing temporarily.
Ich denke, daß es auch ein Gewinn ist.	I think that this, too, is a gain.
